NUTS1;NUTS2;NUTS3;DISTRICT_CODE;DISTRICT_NAME;LAU_CODE;LAU_NAME;POP_MEN;POP_WOMEN;POP_TOTAL;REF_DATE
AT2;AT22;AT221;606;Graz-Umgebung;60644;Seiersberg;3557;3787;7344;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60645;Semriach;1592;1661;3253;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60646;Stattegg;1355;1374;2729;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60647;Stiwoll;351;363;714;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60648;Thal;1098;1135;2233;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60649;Tulwitz;257;257;514;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60650;Tyrnau;81;72;153;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60651;Übelbach;974;976;1950;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60652;Unterpremstätten;1764;1846;3610;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60653;Vasoldsberg;2108;2114;4222;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60654;Weinitzen;1286;1297;2583;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60655;Werndorf;1081;1117;2198;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60656;Wundschuh;754;763;1517;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60657;Zettling;767;778;1545;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60658;Zwaring-Pöls;779;754;1533;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61001;Allerheiligen bei Wildon;705;732;1437;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61002;Arnfels;512;559;1071;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61003;Berghausen;322;321;643;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61004;Breitenfeld am Tannenriegel;107;92;199;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61005;Ehrenhausen;482;564;1046;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61006;Eichberg-Trautenburg;392;394;786;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61007;Empersdorf;667;654;1321;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61008;Gabersdorf;550;562;1112;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61009;Gamlitz;1561;1563;3124;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61010;Glanz an der Weinstraße;687;710;1397;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61011;Gleinstätten;724;740;1464;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61012;Gralla;1024;1042;2066;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61013;Großklein;1129;1142;2271;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61014;Hainsdorf im Schwarzautal;143;140;283;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61015;Heiligenkreuz am Waasen;908;959;1867;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61016;Heimschuh;979;975;1954;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61017;Hengsberg;720;671;1391;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61018;Kaindorf an der Sulm;1217;1323;2540;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61019;Kitzeck im Sausal;592;616;1208;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61020;Lang;595;619;1214;01.01.2012
