NUTS1;NUTS2;NUTS3;DISTRICT_CODE;DISTRICT_NAME;LAU_CODE;LAU_NAME;POP_AUT_NAT;POP_FOR_NAT;POP_TOTAL;REF_DATE
AT2;AT22;AT221;606;Graz-Umgebung;60654;Weinitzen;2490;93;2583;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60655;Werndorf;2049;149;2198;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60656;Wundschuh;1462;55;1517;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60657;Zettling;1450;95;1545;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60658;Zwaring-Pöls;1481;52;1533;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61001;Allerheiligen bei Wildon;1396;41;1437;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61002;Arnfels;1015;56;1071;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61003;Berghausen;621;22;643;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61004;Breitenfeld am Tannenriegel;194;5;199;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61005;Ehrenhausen;1001;45;1046;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61006;Eichberg-Trautenburg;766;20;786;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61007;Empersdorf;1295;26;1321;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61008;Gabersdorf;1079;33;1112;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61009;Gamlitz;3038;86;3124;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61010;Glanz an der Weinstraße;1357;40;1397;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61011;Gleinstätten;1418;46;1464;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61012;Gralla;1964;102;2066;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61013;Großklein;2214;57;2271;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61014;Hainsdorf im Schwarzautal;282;1;283;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61015;Heiligenkreuz am Waasen;1792;75;1867;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61016;Heimschuh;1923;31;1954;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61017;Hengsberg;1352;39;1391;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61018;Kaindorf an der Sulm;2395;145;2540;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61019;Kitzeck im Sausal;1164;44;1208;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61020;Lang;1177;37;1214;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61021;Lebring-Sankt Margarethen;1896;103;1999;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61022;Leibnitz;7142;710;7852;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61023;Leutschach;540;12;552;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61024;Oberhaag;2208;49;2257;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61025;Obervogau;829;47;876;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61026;Pistorf;1350;55;1405;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61027;Ragnitz;1414;36;1450;01.01.2012
