Migrationshintergrund in Wien gemeldeter Personen nach Geschlecht und Wiener Zählbezirk;;;;;;;;;;;;;;;;;;
Migration background of residents in Vienna by sex and Vienna subdistrict;;;;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;SEX;POP_TOTAL;POP_SCG;POP_TUR;POP_DEU;POP_POL;POP_BIH;POP_HRV;POP_ROU;POP_CZE;POP_HUN;POP_OTHER;POP_AUT;REF_DATE
AT1;AT13;AT130;91001;1021;2;3570;93;96;52;83;26;22;15;33;26;211;2913;20110101
AT1;AT13;AT130;91001;1022;2;3257;306;210;60;152;138;46;98;41;37;507;1662;20110101
AT1;AT13;AT130;91001;1023;2;4891;473;413;71;100;142;75;115;59;29;489;2925;20110101
AT1;AT13;AT130;91001;1099;2;264;8;7;3;11;2;0;1;0;0;13;219;20110101
AT1;AT13;AT130;91101;1101;2;863;28;11;49;17;8;8;19;11;21;158;533;20110101
AT1;AT13;AT130;91101;1102;2;6922;680;417;97;147;183;76;131;78;65;789;4259;20110101
AT1;AT13;AT130;91101;1103;2;8131;771;642;127;236;256;166;170;79;84;968;4632;20110101
AT1;AT13;AT130;91101;1104;2;2256;221;129;22;61;68;25;27;25;15;239;1424;20110101
AT1;AT13;AT130;91101;1105;2;5302;283;238;83;117;97;39;63;50;34;408;3890;20110101
AT1;AT13;AT130;91101;1106;2;157;12;9;0;1;2;2;1;1;1;5;123;20110101
AT1;AT13;AT130;91101;1107;2;3495;183;170;57;66;50;29;39;50;28;216;2607;20110101
AT1;AT13;AT130;91101;1108;2;431;8;1;4;7;8;4;0;3;2;18;376;20110101
AT1;AT13;AT130;91101;1109;2;1255;44;10;31;33;7;8;34;10;15;67;996;20110101
AT1;AT13;AT130;91101;1110;2;13178;589;691;201;313;295;113;249;129;107;1006;9485;20110101
AT1;AT13;AT130;91101;1111;2;2241;90;76;26;46;43;15;66;25;52;495;1307;20110101
AT1;AT13;AT130;91101;1112;2;160;4;2;3;0;4;2;11;0;3;8;123;20110101
AT1;AT13;AT130;91101;1113;2;2181;98;55;54;75;25;29;27;30;22;153;1613;20110101
AT1;AT13;AT130;91101;1199;2;72;1;0;1;0;0;0;0;0;1;0;69;20110101
AT1;AT13;AT130;91201;1201;2;1986;198;114;43;53;67;34;33;27;21;313;1083;20110101
AT1;AT13;AT130;91201;1202;2;8947;954;547;170;337;301;155;151;94;83;1131;5024;20110101
AT1;AT13;AT130;91201;1203;2;2580;223;236;34;52;58;25;39;29;18;337;1529;20110101
AT1;AT13;AT130;91201;1204;2;4252;427;239;105;131;119;79;114;43;53;571;2371;20110101
AT1;AT13;AT130;91201;1205;2;4278;363;272;95;118;119;64;66;53;37;487;2604;20110101
AT1;AT13;AT130;91201;1206;2;4467;479;164;195;146;127;80;79;52;61;506;2578;20110101
AT1;AT13;AT130;91201;1207;2;3578;195;170;75;75;44;37;40;44;33;348;2517;20110101
AT1;AT13;AT130;91201;1208;2;2219;220;136;37;69;90;47;19;38;17;210;1336;20110101
AT1;AT13;AT130;91201;1209;2;4084;278;353;30;65;75;22;32;29;24;595;2581;20110101
AT1;AT13;AT130;91201;1210;2;4768;208;210;95;108;149;74;60;49;39;444;3332;20110101
AT1;AT13;AT130;91201;1211;2;5068;145;81;143;84;49;38;60;69;39;360;4000;20110101
AT1;AT13;AT130;91201;1299;2;42;0;0;0;2;1;0;0;0;0;0;39;20110101
AT1;AT13;AT130;91301;1301;2;243;14;1;18;0;2;1;5;7;2;15;178;20110101
AT1;AT13;AT130;91301;1302;2;3330;68;21;224;59;14;20;19;42;29;397;2437;20110101
AT1;AT13;AT130;91301;1303;2;4815;152;37;246;85;40;18;39;75;64;510;3549;20110101
AT1;AT13;AT130;91301;1304;2;5573;107;40;242;103;23;36;37;110;62;504;4309;20110101
AT1;AT13;AT130;91301;1305;2;2310;74;7;102;33;13;8;22;38;15;205;1793;20110101
AT1;AT13;AT130;91301;1306;2;1359;36;4;62;27;11;8;9;12;12;135;1043;20110101
AT1;AT13;AT130;91301;1307;2;1771;67;37;56;27;30;7;9;42;24;153;1319;20110101
AT1;AT13;AT130;91301;1308;2;3539;84;29;123;47;20;13;29;70;46;315;2763;20110101
