Geburtsland in Wien gemeldeter Personen nach Geschlecht und Alter;;;;;;;;;;;;;;;;;;;
Country of birth of residents in Vienna by sex and age;;;;;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;SEX;AGE;POP_TOTAL;POP_SCG;POP_TUR;POP_DEU;POP_POL;POP_BIH;POP_HRV;POP_ROU;POP_CZE;POP_HUN;POP_OTHER;POP_AUT;REF_DATE
AT1;AT13;AT130;00000;0000;2;67;10600;554;103;330;187;79;31;58;390;117;562;8189;20110101
AT1;AT13;AT130;00000;0000;2;68;9920;551;110;335;144;67;43;50;351;121;561;7587;20110101
AT1;AT13;AT130;00000;0000;2;69;11124;476;84;337;119;72;23;59;409;101;514;8930;20110101
AT1;AT13;AT130;00000;0000;2;70;11565;478;109;368;96;70;31;61;365;79;507;9401;20110101
AT1;AT13;AT130;00000;0000;2;71;10797;405;85;276;99;69;22;65;301;76;462;8937;20110101
AT1;AT13;AT130;00000;0000;2;72;6570;334;73;199;65;70;25;43;174;74;403;5110;20110101
AT1;AT13;AT130;00000;0000;2;73;5501;335;74;171;79;54;22;43;184;74;405;4060;20110101
AT1;AT13;AT130;00000;0000;2;74;5339;334;43;129;65;46;21;43;197;63;354;4044;20110101
AT1;AT13;AT130;00000;0000;2;75;5200;300;42;124;68;41;22;39;211;55;305;3993;20110101
AT1;AT13;AT130;00000;0000;2;76;5217;282;40;100;69;28;15;39;213;54;280;4097;20110101
AT1;AT13;AT130;00000;0000;2;77;5281;260;62;94;53;34;12;33;209;54;274;4196;20110101
AT1;AT13;AT130;00000;0000;2;78;5498;258;56;79;53;28;23;40;228;40;248;4445;20110101
AT1;AT13;AT130;00000;0000;2;79;5505;221;30;69;49;17;10;31;235;52;242;4549;20110101
AT1;AT13;AT130;00000;0000;2;80;5592;228;33;65;44;15;7;22;258;54;234;4632;20110101
AT1;AT13;AT130;00000;0000;2;81;5262;172;28;84;44;14;11;39;214;38;244;4374;20110101
AT1;AT13;AT130;00000;0000;2;82;5161;139;24;62;33;16;7;20;221;51;206;4382;20110101
AT1;AT13;AT130;00000;0000;2;83;4952;123;19;64;40;9;5;26;253;47;215;4151;20110101
AT1;AT13;AT130;00000;0000;2;84;5203;122;16;109;47;12;5;43;267;48;220;4314;20110101
AT1;AT13;AT130;00000;0000;2;85;5041;107;14;157;43;2;5;42;238;46;193;4194;20110101
AT1;AT13;AT130;00000;0000;2;86;4736;83;9;161;55;4;8;36;229;30;189;3932;20110101
AT1;AT13;AT130;00000;0000;2;87;4450;73;6;165;64;3;8;28;257;41;200;3605;20110101
AT1;AT13;AT130;00000;0000;2;88;3964;73;4;175;47;0;3;34;231;39;174;3184;20110101
AT1;AT13;AT130;00000;0000;2;89;3381;58;7;162;33;3;3;29;203;34;139;2710;20110101
AT1;AT13;AT130;00000;0000;2;90;2619;38;2;149;25;1;3;15;182;34;125;2045;20110101
AT1;AT13;AT130;00000;0000;2;91;1735;33;0;63;11;1;3;10;118;21;74;1401;20110101
AT1;AT13;AT130;00000;0000;2;92;990;14;3;30;15;0;0;5;53;21;32;817;20110101
AT1;AT13;AT130;00000;0000;2;93;776;7;0;24;5;2;1;4;49;18;44;622;20110101
AT1;AT13;AT130;00000;0000;2;94;661;5;0;19;6;1;2;3;49;9;28;539;20110101
AT1;AT13;AT130;00000;0000;2;95;600;1;1;11;5;0;0;3;39;8;32;500;20110101
AT1;AT13;AT130;00000;0000;2;96;580;10;1;13;4;0;0;1;41;10;16;484;20110101
AT1;AT13;AT130;00000;0000;2;97;445;7;0;5;1;0;1;1;32;4;17;377;20110101
AT1;AT13;AT130;00000;0000;2;98;308;3;0;6;3;0;0;4;18;2;10;262;20110101
AT1;AT13;AT130;00000;0000;2;99;173;1;0;4;0;0;0;1;9;4;11;143;20110101
AT1;AT13;AT130;00000;0000;2;100;116;2;0;0;0;0;0;1;4;2;4;103;20110101
AT1;AT13;AT130;00000;0000;2;101;74;1;1;0;0;0;0;0;4;2;3;63;20110101
AT1;AT13;AT130;00000;0000;2;102;32;0;0;1;0;0;0;1;3;0;1;26;20110101
AT1;AT13;AT130;00000;0000;2;103;20;0;0;0;0;0;0;1;1;0;1;17;20110101
AT1;AT13;AT130;00000;0000;2;104;13;1;0;0;0;0;0;0;0;0;1;11;20110101
AT1;AT13;AT130;00000;0000;2;105;6;0;0;0;0;0;0;0;0;0;1;5;20110101
AT1;AT13;AT130;00000;0000;2;106;7;2;0;0;0;0;0;0;0;0;2;3;20110101
AT1;AT13;AT130;00000;0000;2;107;1;0;0;0;0;0;0;0;0;0;0;1;20110101
AT1;AT13;AT130;00000;0000;2;108;2;0;0;0;0;0;0;0;0;0;0;2;20110101
AT1;AT13;AT130;00000;0000;2;110;1;0;0;0;0;0;0;0;0;0;0;1;20110101
AT1;AT13;AT130;00000;0000;2;111;1;0;1;0;0;0;0;0;0;0;0;0;20110101
AT1;AT13;AT130;00000;0000;1;0;9079;14;7;29;8;5;3;7;6;11;120;8869;20110101
