Erwerbstätige PendlerInnen am Arbeits- bzw. Wohnort Wien nach Geschlecht und Entfernungskategorie;;;;;;;;;
Economically Active Commuters in Vienna by sex and category of distance;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUBDISTRICT_CODE;SEX;DISTANCE_CAT;EAC_PLACE_OF_WORK;EAC_PLACE_OF_ABODE;REF_YEAR
AT1;AT13;AT130;91201;0;0;1;1.831;1.831;2009
AT1;AT13;AT130;91201;0;0;2;6.208;6.208;2009
AT1;AT13;AT130;91201;0;0;3;17.124;23.920;2009
AT1;AT13;AT130;91201;0;0;4;9.309;4.286;2009
AT1;AT13;AT130;91201;0;0;5;;18;2009
AT1;AT13;AT130;91201;0;0;0;34.472;36.263;2009
AT1;AT13;AT130;91301;0;1;1;913;913;2009
AT1;AT13;AT130;91301;0;1;2;1.701;1.701;2009
AT1;AT13;AT130;91301;0;1;3;4.993;6.646;2009
AT1;AT13;AT130;91301;0;1;4;2.789;1.365;2009
AT1;AT13;AT130;91301;0;1;5;;13;2009
AT1;AT13;AT130;91301;0;1;0;10.396;10.638;2009
AT1;AT13;AT130;91301;0;2;1;722;722;2009
AT1;AT13;AT130;91301;0;2;2;2.561;2.561;2009
AT1;AT13;AT130;91301;0;2;3;6.645;6.165;2009
AT1;AT13;AT130;91301;0;2;4;2.927;837;2009
AT1;AT13;AT130;91301;0;2;5;;2;2009
AT1;AT13;AT130;91301;0;2;0;12.855;10.287;2009
AT1;AT13;AT130;91301;0;0;1;1.635;1.635;2009
AT1;AT13;AT130;91301;0;0;2;4.262;4.262;2009
AT1;AT13;AT130;91301;0;0;3;11.638;12.811;2009
AT1;AT13;AT130;91301;0;0;4;5.716;2.202;2009
AT1;AT13;AT130;91301;0;0;5;;15;2009
AT1;AT13;AT130;91301;0;0;0;23.251;20.925;2009
AT1;AT13;AT130;91401;0;1;1;1.299;1.299;2009
AT1;AT13;AT130;91401;0;1;2;3.073;3.073;2009
AT1;AT13;AT130;91401;0;1;3;5.507;12.135;2009
AT1;AT13;AT130;91401;0;1;4;2.903;2.317;2009
AT1;AT13;AT130;91401;0;1;5;;10;2009
AT1;AT13;AT130;91401;0;1;0;12.782;18.834;2009
AT1;AT13;AT130;91401;0;2;1;896;896;2009
AT1;AT13;AT130;91401;0;2;2;4.323;4.323;2009
AT1;AT13;AT130;91401;0;2;3;5.739;11.225;2009
AT1;AT13;AT130;91401;0;2;4;2.452;1.275;2009
AT1;AT13;AT130;91401;0;2;5;;2;2009
AT1;AT13;AT130;91401;0;2;0;13.410;17.721;2009
AT1;AT13;AT130;91401;0;0;1;2.195;2.195;2009
AT1;AT13;AT130;91401;0;0;2;7.396;7.396;2009
AT1;AT13;AT130;91401;0;0;3;11.246;23.360;2009
AT1;AT13;AT130;91401;0;0;4;5.355;3.592;2009
AT1;AT13;AT130;91401;0;0;5;;12;2009
AT1;AT13;AT130;91401;0;0;0;26.192;36.555;2009
AT1;AT13;AT130;91501;0;1;1;1.270;1.270;2009
AT1;AT13;AT130;91501;0;1;2;1.935;1.935;2009
AT1;AT13;AT130;91501;0;1;3;8.524;10.811;2009
AT1;AT13;AT130;91501;0;1;4;4.450;2.332;2009
AT1;AT13;AT130;91501;0;1;5;;11;2009
AT1;AT13;AT130;91501;0;1;0;16.179;16.359;2009
AT1;AT13;AT130;91501;0;2;1;791;791;2009
AT1;AT13;AT130;91501;0;2;2;2.267;2.267;2009
