Geburtsland in Wien gemeldeter Personen, Stichtag  nach Geschlecht und Wiener Bezirk ;;;;;;;;;;;;;;;;;;
Country of birth of residents in Vienna, by sex and Vienna district ;;;;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;SEX;POP_TOTAL;POP_SCG;POP_TUR;POP_DEU;POP_POL;POP_BIH;POP_HRV;POP_ROU;POP_CZE;POP_HUN;POP_OTHER;POP_AUT;REF_DATE
AT1;AT13;AT130;92201;0000;1;76135;2242;1638;1012;1359;836;240;623;672;364;7130;60019;20110101
AT1;AT13;AT130;92301;0000;1;43896;1356;960;826;590;657;175;307;414;296;2636;35679;20110101
AT1;AT13;AT130;90101;0000;2;8883;282;61;355;158;67;52;135;153;123;1769;5728;20120101
AT1;AT13;AT130;90201;0000;2;49421;3512;1891;1366;1220;983;285;944;620;520;7324;30756;20120101
AT1;AT13;AT130;90301;0000;2;45326;2446;1130;1540;1146;755;292;714;683;505;6289;29826;20120101
AT1;AT13;AT130;90401;0000;2;16653;697;286;764;338;204;114;261;216;210;2921;10642;20120101
AT1;AT13;AT130;90501;0000;2;27364;2177;1163;891;758;675;181;519;314;272;3907;16507;20120101
AT1;AT13;AT130;90601;0000;2;15611;718;303;671;357;205;104;204;164;220;2373;10292;20120101
AT1;AT13;AT130;90701;0000;2;16282;825;312;837;321;256;111;256;177;216;2263;10708;20120101
AT1;AT13;AT130;90801;0000;2;12533;490;181;601;235;121;63;129;137;144;1842;8590;20120101
AT1;AT13;AT130;90901;0000;2;21141;1110;335;992;415;251;105;262;317;290;3033;14031;20120101
AT1;AT13;AT130;91001;0000;2;92538;7311;6001;1332;2144;2702;559;1561;1009;821;9084;60014;20120101
AT1;AT13;AT130;91101;0000;2;47183;2872;2270;702;1106;1139;238;868;483;451;4297;32757;20120101
AT1;AT13;AT130;91201;0000;2;46681;3424;2211;994;1223;1267;322;718;542;458;5176;30346;20120101
AT1;AT13;AT130;91301;0000;2;27964;702;199;1085;468;180;88;224;477;299;2553;21689;20120101
AT1;AT13;AT130;91401;0000;2;45114;2628;1060;1171;1036;889;280;592;596;388;3644;32830;20120101
AT1;AT13;AT130;91501;0000;2;37071;4022;2016;890;1167;1469;359;814;363;438;4591;20942;20120101
AT1;AT13;AT130;91601;0000;2;49711;5107;2824;1060;1329;1297;349;847;507;388;4723;31280;20120101
AT1;AT13;AT130;91701;0000;2;27827;2429;873;727;772;775;203;445;317;255;2930;18101;20120101
AT1;AT13;AT130;91801;0000;2;26246;1231;411;1080;535;338;133;353;353;302;3222;18288;20120101
AT1;AT13;AT130;91901;0000;2;37776;1188;529;1303;664;333;149;343;625;501;5072;27069;20120101
AT1;AT13;AT130;92001;0000;2;43237;3642;3004;752;1189;1195;241;794;490;372;5606;25952;20120101
AT1;AT13;AT130;92101;0000;2;75576;3017;1905;1188;1812;910;269;823;994;580;6916;57162;20120101
AT1;AT13;AT130;92201;0000;2;84919;2688;1567;1300;2134;829;268;813;1089;630;8772;64829;20120101
AT1;AT13;AT130;92301;0000;2;50374;1623;944;1076;900;715;212;480;697;417;3449;39861;20120101
AT1;AT13;AT130;90101;0000;1;8183;226;59;383;76;49;52;84;106;94;1533;5521;20120101
AT1;AT13;AT130;90201;0000;1;46987;3324;2161;1348;1298;918;243;679;349;433;7118;29116;20120101
AT1;AT13;AT130;90301;0000;1;41143;2221;1303;1498;1002;756;227;505;376;457;5640;27158;20120101
AT1;AT13;AT130;90401;0000;1;14875;588;314;786;253;174;95;172;109;159;2467;9758;20120101
AT1;AT13;AT130;90501;0000;1;26247;1994;1340;1003;737;686;165;367;201;240;3840;15674;20120101
AT1;AT13;AT130;90601;0000;1;14305;576;367;687;300;209;76;126;111;139;2256;9458;20120101
AT1;AT13;AT130;90701;0000;1;14657;670;344;844;242;217;84;139;88;138;2059;9832;20120101
AT1;AT13;AT130;90801;0000;1;11843;478;194;609;218;136;50;173;99;133;1906;7847;20120101
AT1;AT13;AT130;90901;0000;1;19262;977;387;1014;411;228;89;178;164;180;3072;12562;20120101
AT1;AT13;AT130;91001;0000;1;87320;6846;6774;1172;2007;2695;501;1221;588;719;8865;55932;20120101
AT1;AT13;AT130;91101;0000;1;44869;2577;2563;607;918;1054;250;741;273;468;4178;31240;20120101
AT1;AT13;AT130;91201;0000;1;42971;3182;2557;851;1147;1222;320;547;292;295;4937;27621;20120101
AT1;AT13;AT130;91301;0000;1;23257;527;229;830;294;148;76;151;226;199;1919;18658;20120101
AT1;AT13;AT130;91401;0000;1;40709;2306;1186;966;903;878;241;400;301;259;3355;29914;20120101
AT1;AT13;AT130;91501;0000;1;36349;3925;2356;859;1359;1477;342;735;220;440;4822;19814;20120101
AT1;AT13;AT130;91601;0000;1;47500;4962;3219;904;1564;1323;312;708;276;361;4966;28905;20120101
AT1;AT13;AT130;91701;0000;1;26132;2300;1043;631;884;784;173;332;176;240;2896;16673;20120101
AT1;AT13;AT130;91801;0000;1;22415;1120;498;947;516;293;117;234;171;212;2708;15599;20120101
AT1;AT13;AT130;91901;0000;1;32065;975;701;1029;452;292;119;228;328;337;4340;23264;20120101
AT1;AT13;AT130;92001;0000;1;41685;3492;3345;749;1053;1223;233;686;250;370;5592;24692;20120101
AT1;AT13;AT130;92101;0000;1;69397;2775;2080;926;1428;882;215;684;575;447;6091;53294;20120101
AT1;AT13;AT130;92201;0000;1;78039;2295;1712;1087;1454;846;251;682;656;413;7652;60991;20120101
AT1;AT13;AT130;92301;0000;1;44560;1356;1066;861;628;705;179;369;396;300;2819;35881;20120101
AT1;AT13;AT130;90101;0000;2;8738;278;54;320;155;65;55;136;154;133;1741;5647;20130101
AT1;AT13;AT130;90201;0000;2;50306;3498;1872;1458;1283;989;283;986;580;553;7683;31121;20130101
AT1;AT13;AT130;90301;0000;2;45845;2387;1118;1653;1184;771;291;748;665;558;6656;29814;20130101
AT1;AT13;AT130;90401;0000;2;16779;693;285;803;371;200;121;271;214;242;3063;10516;20130101
AT1;AT13;AT130;90501;0000;2;27505;2133;1145;932;785;663;195;527;304;296;4069;16456;20130101
AT1;AT13;AT130;90601;0000;2;15754;712;297;710;380;207;99;221;166;224;2434;10304;20130101
AT1;AT13;AT130;90701;0000;2;16272;810;303;853;318;228;112;265;168;212;2350;10653;20130101
AT1;AT13;AT130;90801;0000;2;12518;463;172;645;223;131;62;139;130;159;1815;8579;20130101
AT1;AT13;AT130;90901;0000;2;21342;1128;282;1111;411;241;120;303;293;280;3186;13987;20130101
AT1;AT13;AT130;91001;0000;2;93515;7391;6096;1385;2235;2802;575;1681;983;931;9796;59640;20130101
AT1;AT13;AT130;91101;0000;2;47663;2926;2325;693;1128;1179;251;905;483;478;4443;32852;20130101
AT1;AT13;AT130;91201;0000;2;47066;3444;2191;1009;1320;1303;325;775;532;490;5332;30345;20130101
AT1;AT13;AT130;91301;0000;2;27870;704;213;1071;468;188;91;233;465;329;2528;21580;20130101
AT1;AT13;AT130;91401;0000;2;45566;2618;1053;1199;1107;907;294;666;582;443;3844;32853;20130101
AT1;AT13;AT130;91501;0000;2;37778;3994;2009;942;1206;1502;371;870;358;489;4933;21104;20130101
AT1;AT13;AT130;91601;0000;2;50500;5205;2772;1113;1433;1260;335;902;493;433;5042;31512;20130101
AT1;AT13;AT130;91701;0000;2;27956;2370;846;762;773;780;187;467;311;284;3039;18137;20130101
AT1;AT13;AT130;91801;0000;2;26535;1228;403;1159;542;341;125;383;347;323;3416;18268;20130101
AT1;AT13;AT130;91901;0000;2;37920;1191;530;1314;687;318;153;377;619;540;5237;26954;20130101
AT1;AT13;AT130;92001;0000;2;43405;3632;2979;815;1218;1193;246;810;495;449;5855;25713;20130101
AT1;AT13;AT130;92101;0000;2;76593;3084;2001;1200;1921;940;292;868;947;619;7275;57446;20130101
AT1;AT13;AT130;92201;0000;2;86653;2724;1630;1360;2213;866;257;893;1066;679;9305;65660;20130101
AT1;AT13;AT130;92301;0000;2;50763;1620;982;1080;927;753;215;517;685;449;3588;39947;20130101
AT1;AT13;AT130;90101;0000;1;8041;204;62;371;70;48;54;78;104;90;1498;5462;20130101
AT1;AT13;AT130;90201;0000;1;47906;3270;2150;1456;1334;929;254;727;338;510;7425;29513;20130101
AT1;AT13;AT130;90301;0000;1;41328;2168;1258;1532;1023;743;235;521;371;479;5803;27195;20130101
AT1;AT13;AT130;90401;0000;1;14976;573;324;768;267;174;94;164;106;171;2571;9764;20130101
AT1;AT13;AT130;90501;0000;1;26433;1956;1270;1021;755;684;169;415;195;266;4035;15667;20130101
AT1;AT13;AT130;90601;0000;1;14582;557;357;736;316;224;76;134;102;146;2321;9613;20130101
AT1;AT13;AT130;90701;0000;1;14768;666;331;871;253;204;84;142;87;154;2100;9876;20130101
AT1;AT13;AT130;90801;0000;1;11957;471;207;656;197;123;48;200;88;130;1940;7897;20130101
AT1;AT13;AT130;90901;0000;1;19614;978;370;1098;418;233;95;196;158;198;3248;12622;20130101
AT1;AT13;AT130;91001;0000;1;88794;6848;6874;1247;2180;2740;526;1354;565;805;9746;55909;20130101
AT1;AT13;AT130;91101;0000;1;45285;2627;2588;585;993;1098;252;815;266;443;4283;31335;20130101
AT1;AT13;AT130;91201;0000;1;43358;3107;2523;889;1268;1252;324;573;290;376;5001;27755;20130101
AT1;AT13;AT130;91301;0000;1;23399;515;243;852;319;155;73;166;209;213;1944;18710;20130101
AT1;AT13;AT130;91401;0000;1;41365;2272;1194;996;1014;883;230;429;292;306;3599;30150;20130101
AT1;AT13;AT130;91501;0000;1;37158;3883;2346;948;1416;1478;339;728;215;494;5176;20135;20130101
AT1;AT13;AT130;91601;0000;1;48347;5041;3192;1006;1683;1252;306;739;278;360;5281;29209;20130101
AT1;AT13;AT130;91701;0000;1;26356;2270;1006;677;936;790;170;356;165;252;2917;16817;20130101
AT1;AT13;AT130;91801;0000;1;22684;1088;477;966;558;313;113;242;167;262;2865;15633;20130101
AT1;AT13;AT130;91901;0000;1;32362;952;693;1080;493;279;117;272;323;367;4455;23331;20130101
AT1;AT13;AT130;92001;0000;1;41777;3388;3289;815;1105;1216;234;689;243;383;5893;24522;20130101
AT1;AT13;AT130;92101;0000;1;70535;2808;2171;968;1560;930;218;687;563;481;6448;53701;20130101
