NUTS1;NUTS2;NUTS3;DISTRICT_CODE;DISTRICT_NAME;LAU_CODE;LAU_NAME;POP_AUT_BORN;POP_FOR_BORN;POP_TOTAL;REF_DATE
AT2;AT22;AT221;606;Graz-Umgebung;60641;Sankt Oswald bei Plankenwarth;1141;38;1179;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60642;Sankt Radegund bei Graz;1922;96;2018;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60643;Schrems bei Frohnleiten;574;29;603;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60644;Seiersberg;6282;1062;7344;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60645;Semriach;3021;232;3253;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60646;Stattegg;2520;209;2729;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60647;Stiwoll;703;11;714;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60648;Thal;2052;181;2233;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60649;Tulwitz;512;2;514;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60650;Tyrnau;152;1;153;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60651;Übelbach;1868;82;1950;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60652;Unterpremstätten;3274;336;3610;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60653;Vasoldsberg;3987;235;4222;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60654;Weinitzen;2436;147;2583;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60655;Werndorf;1948;250;2198;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60656;Wundschuh;1433;84;1517;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60657;Zettling;1409;136;1545;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60658;Zwaring-Pöls;1457;76;1533;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61001;Allerheiligen bei Wildon;1354;83;1437;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61002;Arnfels;996;75;1071;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61003;Berghausen;611;32;643;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61004;Breitenfeld am Tannenriegel;192;7;199;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61005;Ehrenhausen;969;77;1046;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61006;Eichberg-Trautenburg;749;37;786;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61007;Empersdorf;1267;54;1321;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61008;Gabersdorf;1058;54;1112;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61009;Gamlitz;2956;168;3124;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61010;Glanz an der Weinstraße;1327;70;1397;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61011;Gleinstätten;1400;64;1464;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61012;Gralla;1933;133;2066;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61013;Großklein;2175;96;2271;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61014;Hainsdorf im Schwarzautal;281;2;283;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61015;Heiligenkreuz am Waasen;1791;76;1867;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61016;Heimschuh;1901;53;1954;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61017;Hengsberg;1322;69;1391;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61018;Kaindorf an der Sulm;2320;220;2540;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61019;Kitzeck im Sausal;1148;60;1208;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61020;Lang;1148;66;1214;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61021;Lebring-Sankt Margarethen;1839;160;1999;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61022;Leibnitz;6914;938;7852;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61023;Leutschach;523;29;552;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61024;Oberhaag;2180;77;2257;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61025;Obervogau;806;70;876;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61026;Pistorf;1333;72;1405;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61027;Ragnitz;1398;52;1450;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61028;Ratsch an der Weinstraße;414;34;448;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61029;Retznei;403;16;419;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61030;Sankt Andrä-Höch;1677;63;1740;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61031;Sankt Georgen an der Stiefing;1045;63;1108;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61032;Sankt Johann im Saggautal;2006;43;2049;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61033;Sankt Nikolai im Sausal;2117;93;2210;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61034;Sankt Nikolai ob Draßling;994;61;1055;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61035;Sankt Ulrich am Waasen;731;42;773;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61036;Sankt Veit am Vogau;1835;70;1905;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61037;Schloßberg;1029;42;1071;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61038;Seggauberg;919;56;975;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61039;Spielfeld;861;103;964;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61040;Stocking;1394;61;1455;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61041;Straß in Steiermark;1548;204;1752;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61042;Sulztal an der Weinstraße;130;4;134;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61043;Tillmitsch;2995;164;3159;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61044;Vogau;1030;84;1114;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61045;Wagna;4764;596;5360;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61046;Weitendorf;1431;93;1524;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61047;Wildon;2264;301;2565;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61048;Wolfsberg im Schwarzautal;741;57;798;01.01.2012
AT2;AT22;AT223;611;Leoben;61101;Eisenerz;4494;308;4802;01.01.2012
AT2;AT22;AT223;611;Leoben;61104;Hieflau;727;42;769;01.01.2012
AT2;AT22;AT223;611;Leoben;61105;Kalwang;1014;68;1082;01.01.2012
AT2;AT22;AT223;611;Leoben;61106;Kammern im Liesingtal;1579;75;1654;01.01.2012
AT2;AT22;AT223;611;Leoben;61107;Kraubath an der Mur;1238;50;1288;01.01.2012
AT2;AT22;AT223;611;Leoben;61108;Leoben;20896;3671;24567;01.01.2012
AT2;AT22;AT223;611;Leoben;61109;Mautern in Steiermark;1750;66;1816;01.01.2012
AT2;AT22;AT223;611;Leoben;61110;Niklasdorf;2309;237;2546;01.01.2012
AT2;AT22;AT223;611;Leoben;61111;Proleb;1519;59;1578;01.01.2012
AT2;AT22;AT223;611;Leoben;61112;Radmer;645;10;655;01.01.2012
AT2;AT22;AT223;611;Leoben;61113;Sankt Michael in Obersteiermark;2889;181;3070;01.01.2012
AT2;AT22;AT223;611;Leoben;61114;Sankt Peter-Freienstein;2239;168;2407;01.01.2012
AT2;AT22;AT223;611;Leoben;61115;Sankt Stefan ob Leoben;1909;63;1972;01.01.2012
AT2;AT22;AT223;611;Leoben;61116;Traboch;1316;71;1387;01.01.2012
AT2;AT22;AT223;611;Leoben;61118;Vordernberg;993;61;1054;01.01.2012
AT2;AT22;AT223;611;Leoben;61119;Wald am Schoberpaß;586;46;632;01.01.2012
AT2;AT22;AT223;611;Leoben;61120;Trofaiach;10589;718;11307;01.01.2012
AT2;AT22;AT222;612;Liezen;61201;Admont;2324;201;2525;01.01.2012
AT2;AT22;AT222;612;Liezen;61202;Aich;854;72;926;01.01.2012
AT2;AT22;AT222;612;Liezen;61203;Aigen im Ennstal;2476;94;2570;01.01.2012
AT2;AT22;AT222;612;Liezen;61204;Altaussee;1606;171;1777;01.01.2012
AT2;AT22;AT222;612;Liezen;61205;Altenmarkt bei Sankt Gallen;817;47;864;01.01.2012
AT2;AT22;AT222;612;Liezen;61206;Ardning;1142;43;1185;01.01.2012
AT2;AT22;AT222;612;Liezen;61207;Bad Aussee;4258;624;4882;01.01.2012
AT2;AT22;AT222;612;Liezen;61208;Donnersbach;1065;34;1099;01.01.2012
AT2;AT22;AT222;612;Liezen;61209;Donnersbachwald;317;8;325;01.01.2012
AT2;AT22;AT222;612;Liezen;61210;Gaishorn am See;950;59;1009;01.01.2012
AT2;AT22;AT222;612;Liezen;61211;Gams bei Hieflau;547;22;569;01.01.2012
AT2;AT22;AT222;612;Liezen;61212;Gössenberg;262;13;275;01.01.2012
