NUTS1;NUTS2;NUTS3;DISTRICT_CODE;DISTRICT_NAME;LAU_CODE;LAU_NAME;POP_MEN;POP_WOMEN;POP_TOTAL;REF_DATE
AT2;AT22;AT225;610;Leibnitz;61013;Großklein;1146;1151;2297;01.01.2013
AT2;AT22;AT225;610;Leibnitz;61014;Hainsdorf im Schwarzautal;141;139;280;01.01.2013
AT2;AT22;AT225;610;Leibnitz;61015;Heiligenkreuz am Waasen;945;982;1927;01.01.2013
AT2;AT22;AT225;610;Leibnitz;61016;Heimschuh;980;1000;1980;01.01.2013
AT2;AT22;AT225;610;Leibnitz;61017;Hengsberg;718;678;1396;01.01.2013
AT2;AT22;AT225;610;Leibnitz;61018;Kaindorf an der Sulm;1236;1328;2564;01.01.2013
AT2;AT22;AT225;610;Leibnitz;61019;Kitzeck im Sausal;600;621;1221;01.01.2013
AT2;AT22;AT225;610;Leibnitz;61020;Lang;603;613;1216;01.01.2013
AT2;AT22;AT225;610;Leibnitz;61021;Lebring-Sankt Margarethen;997;1044;2041;01.01.2013
AT2;AT22;AT225;610;Leibnitz;61022;Leibnitz;3675;4173;7848;01.01.2013
AT2;AT22;AT225;610;Leibnitz;61023;Leutschach;251;310;561;01.01.2013
AT2;AT22;AT225;610;Leibnitz;61024;Oberhaag;1116;1108;2224;01.01.2013
AT2;AT22;AT225;610;Leibnitz;61025;Obervogau;434;434;868;01.01.2013
AT2;AT22;AT225;610;Leibnitz;61026;Pistorf;706;710;1416;01.01.2013
AT2;AT22;AT225;610;Leibnitz;61027;Ragnitz;729;711;1440;01.01.2013
AT2;AT22;AT225;610;Leibnitz;61028;Ratsch an der Weinstraße;213;221;434;01.01.2013
AT2;AT22;AT225;610;Leibnitz;61029;Retznei;213;208;421;01.01.2013
AT2;AT22;AT225;610;Leibnitz;61030;Sankt Andrä-Höch;890;843;1733;01.01.2013
AT2;AT22;AT225;610;Leibnitz;61031;Sankt Georgen an der Stiefing;530;561;1091;01.01.2013
AT2;AT22;AT225;610;Leibnitz;61032;Sankt Johann im Saggautal;1022;1026;2048;01.01.2013
AT2;AT22;AT225;610;Leibnitz;61033;Sankt Nikolai im Sausal;1122;1113;2235;01.01.2013
AT2;AT22;AT225;610;Leibnitz;61034;Sankt Nikolai ob Draßling;564;509;1073;01.01.2013
AT2;AT22;AT225;610;Leibnitz;61035;Sankt Ulrich am Waasen;384;380;764;01.01.2013
AT2;AT22;AT225;610;Leibnitz;61036;Sankt Veit am Vogau;937;992;1929;01.01.2013
AT2;AT22;AT225;610;Leibnitz;61037;Schloßberg;558;530;1088;01.01.2013
AT2;AT22;AT225;610;Leibnitz;61038;Seggauberg;476;482;958;01.01.2013
AT2;AT22;AT225;610;Leibnitz;61039;Spielfeld;500;464;964;01.01.2013
