Wanderung gegenüber Wien nach Staatsangehörigkeit und Geschlecht - Zeitreihe;;;;;;;;;;;;;;;
Migration in Vienna by nationality and sex - time series;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;SEX;NATIONALITY;MIG_NET_TOTAL;MIG_NET_EXT;IMM_EXT;EMI_EXT;MIG_NET_INT;IMM_INT;EMI_INT;MIG_VIE_INT;REF_DATE
AT1;AT13;AT130;00000;00000000;2;REST-EU;299;323;1483;1160;-24;107;131;1088;2008
AT1;AT13;AT130;00000;00000000;2;SCG;401;386;1294;908;15;250;235;4816;2008
AT1;AT13;AT130;00000;00000000;2;TUR;596;584;1037;453;12;148;136;2876;2008
AT1;AT13;AT130;00000;00000000;2;BIH;203;171;323;152;32;125;93;1014;2008
AT1;AT13;AT130;00000;00000000;2;HRV;133;141;373;232;-8;68;76;790;2008
AT1;AT13;AT130;00000;00000000;2;MKD;169;165;220;55;4;26;22;387;2008
AT1;AT13;AT130;00000;00000000;2;RUS;651;202;387;185;449;613;164;790;2008
AT1;AT13;AT130;00000;00000000;2;CHN;19;-8;333;341;27;120;93;623;2008
AT1;AT13;AT130;00000;00000000;2;OTHER;1750;1398;4111;2713;352;772;420;4925;2008
AT1;AT13;AT130;00000;00000000;1;AUT;-3063;-1341;3595;4936;-1722;10510;12232;46003;2008
AT1;AT13;AT130;00000;00000000;1;DEU;1172;1228;2350;1122;-56;282;338;1762;2008
AT1;AT13;AT130;00000;00000000;1;POL;-28;31;1321;1290;-59;93;152;1687;2008
AT1;AT13;AT130;00000;00000000;1;ROU;781;911;1823;912;-130;107;237;922;2008
AT1;AT13;AT130;00000;00000000;1;SVK;40;84;517;433;-44;40;84;387;2008
AT1;AT13;AT130;00000;00000000;1;HUN;371;389;729;340;-18;86;104;356;2008
AT1;AT13;AT130;00000;00000000;1;BGR;468;468;835;367;0;34;34;485;2008
AT1;AT13;AT130;00000;00000000;1;CZE;23;37;171;134;-14;14;28;106;2008
AT1;AT13;AT130;00000;00000000;1;REST-EU;492;549;1876;1327;-57;123;180;1337;2008
AT1;AT13;AT130;00000;00000000;1;SCG;192;222;1872;1650;-30;351;381;5864;2008
AT1;AT13;AT130;00000;00000000;1;TUR;459;448;1301;853;11;248;237;4201;2008
AT1;AT13;AT130;00000;00000000;1;BIH;108;95;391;296;13;144;131;1417;2008
AT1;AT13;AT130;00000;00000000;1;HRV;32;43;404;361;-11;84;95;965;2008
AT1;AT13;AT130;00000;00000000;1;MKD;143;130;312;182;13;57;44;578;2008
AT1;AT13;AT130;00000;00000000;1;RUS;574;120;313;193;454;638;184;864;2008
