Wanderung gegenüber Wien nach Zählbezirken, Migrationshintergrund und Geschlecht;;;;;;;;;;;;;;;;;;
Migration in Vienna by subdistrict, migrationbackground and sex;;;;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;SEX;MIG_BACKGROUND;MIG_NET_TOTAL;MIG_NET_EXT;IMM_EXT;EMI_EXT;MIG_NET_INT;IMM_INT;EMI_INT;IMM_SDC;EMI_SDC;MIG_SDC_INT;REF_DATE
AT1;AT13;AT130;00000;9010105;1;ROU;1;0;1;1;1;0;0;2;1;0;2007
AT1;AT13;AT130;00000;9010105;1;SVK;0;-1;0;1;1;1;0;0;0;0;2007
AT1;AT13;AT130;00000;9010105;1;HUN;1;2;3;1;-1;0;0;0;1;0;2007
AT1;AT13;AT130;00000;9010105;1;BGR;1;0;1;1;1;1;0;0;0;0;2007
AT1;AT13;AT130;00000;9010105;1;CZE;0;1;1;0;-1;0;0;0;1;0;2007
AT1;AT13;AT130;00000;9010105;1;REST-EU;1;2;6;4;-1;1;0;1;3;0;2007
AT1;AT13;AT130;00000;9010105;1;SCG;2;3;3;0;-1;0;0;0;1;0;2007
AT1;AT13;AT130;00000;9010105;1;TUR;3;2;2;0;1;0;0;2;1;0;2007
AT1;AT13;AT130;00000;9010105;1;HRV;4;0;0;0;4;0;0;4;0;0;2007
AT1;AT13;AT130;00000;9010105;1;RUS;3;-1;0;1;4;2;0;2;0;0;2007
AT1;AT13;AT130;00000;9010105;1;CHN;-1;0;0;0;-1;0;0;0;1;0;2007
AT1;AT13;AT130;00000;9010105;1;OTHER;5;4;9;5;1;1;0;4;4;0;2007
AT1;AT13;AT130;00000;9010106;2;AUT;-4;-6;5;11;2;17;8;40;47;7;2007
AT1;AT13;AT130;00000;9010106;2;DEU;-4;0;3;3;-4;1;0;2;7;1;2007
AT1;AT13;AT130;00000;9010106;2;POL;-1;0;0;0;-1;0;0;0;1;0;2007
AT1;AT13;AT130;00000;9010106;2;ROU;1;2;2;0;-1;0;0;0;1;0;2007
AT1;AT13;AT130;00000;9010106;2;SVK;1;1;1;0;0;0;0;1;1;0;2007
AT1;AT13;AT130;00000;9010106;2;HUN;1;1;1;0;0;0;1;3;2;0;2007
AT1;AT13;AT130;00000;9010106;2;BGR;1;0;0;0;1;0;0;1;0;0;2007
AT1;AT13;AT130;00000;9010106;2;CZE;0;-1;0;1;1;1;0;1;1;0;2007
AT1;AT13;AT130;00000;9010106;2;REST-EU;6;2;6;4;4;0;0;6;2;0;2007
AT1;AT13;AT130;00000;9010106;2;SCG;-3;-1;0;1;-2;0;0;1;3;0;2007
AT1;AT13;AT130;00000;9010106;2;TUR;0;0;1;1;0;0;0;0;0;0;2007
AT1;AT13;AT130;00000;9010106;2;BIH;-2;0;0;0;-2;0;0;1;3;0;2007
AT1;AT13;AT130;00000;9010106;2;HRV;-1;-1;0;1;0;0;0;5;5;0;2007
AT1;AT13;AT130;00000;9010106;2;RUS;3;2;2;0;1;2;1;1;1;0;2007
AT1;AT13;AT130;00000;9010106;2;CHN;1;0;0;0;1;0;0;1;0;0;2007
AT1;AT13;AT130;00000;9010106;2;OTHER;-3;1;8;7;-4;2;2;8;12;1;2007
AT1;AT13;AT130;00000;9010106;1;AUT;-12;1;8;7;-13;10;16;47;54;8;2007
AT1;AT13;AT130;00000;9010106;1;DEU;8;1;9;8;7;1;1;10;3;0;2007
AT1;AT13;AT130;00000;9010106;1;POL;-1;0;0;0;-1;0;0;0;1;0;2007
AT1;AT13;AT130;00000;9010106;1;HUN;-1;0;0;0;-1;0;0;1;2;0;2007
AT1;AT13;AT130;00000;9010106;1;REST-EU;2;3;11;8;-1;0;0;3;4;0;2007
AT1;AT13;AT130;00000;9010106;1;SCG;-2;0;0;0;-2;0;0;0;2;0;2007
AT1;AT13;AT130;00000;9010106;1;TUR;3;1;1;0;2;0;0;3;1;0;2007
AT1;AT13;AT130;00000;9010106;1;BIH;-3;0;0;0;-3;0;0;0;3;0;2007
AT1;AT13;AT130;00000;9010106;1;HRV;0;1;1;0;-1;0;1;2;2;0;2007
AT1;AT13;AT130;00000;9010106;1;MKD;2;1;1;0;1;0;0;1;0;0;2007
AT1;AT13;AT130;00000;9010106;1;RUS;0;1;1;0;-1;0;0;0;1;0;2007
AT1;AT13;AT130;00000;9010106;1;OTHER;10;8;11;3;2;1;0;11;10;1;2007
AT1;AT13;AT130;00000;9010107;2;AUT;-25;-4;4;8;-21;15;16;33;53;1;2007
AT1;AT13;AT130;00000;9010107;2;DEU;4;-1;1;2;5;1;1;5;0;1;2007
AT1;AT13;AT130;00000;9010107;2;POL;-3;0;0;0;-3;0;0;1;4;0;2007
AT1;AT13;AT130;00000;9010107;2;ROU;-1;1;2;1;-2;0;1;0;1;0;2007
AT1;AT13;AT130;00000;9010107;2;SVK;1;3;3;0;-2;0;1;1;2;0;2007
