Herkunftsgebiet (österreichisches Bundesland,Ausland) in Wien gemeldeter Personen, nach Geschlecht und Wiener Bezirk;;;;;;;;;;;;;;;;;;
Place of Birth (Austrian Provinces, Foreign) of residents in Vienna by sex and Vienna district ;;;;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;SEX;POP_TOTAL;BORN_AT13;BORN_AT11;BORN_AT12;BORN_AT21;BORN_AT22;BORN_AT31;BORN_AT32;BORN_AT33;BORN_AT34;BORN_AT_UNCLASSIFIED;FOREIGN_BORN;REF_DATE
AT1;AT13;AT130;90601;0000;2;15845;5837;344;1536;419;624;883;260;204;124;15;5599;20140101
AT1;AT13;AT130;90701;0000;2;16255;6005;335;1466;417;657;1004;300;234;185;11;5641;20140101
AT1;AT13;AT130;90801;0000;2;12552;5019;257;1105;335;482;818;238;151;112;7;4028;20140101
AT1;AT13;AT130;90901;0000;2;21523;8075;416;2090;558;762;1268;368;258;165;17;7546;20140101
AT1;AT13;AT130;91001;0000;2;94949;45243;2419;7402;706;1661;1183;398;328;200;117;35292;20140101
AT1;AT13;AT130;91101;0000;2;48055;25488;1151;4020;324;856;579;175;128;73;38;15223;20140101
AT1;AT13;AT130;91201;0000;2;47389;21719;1018;4030;565;1039;969;308;268;161;53;17259;20140101
AT1;AT13;AT130;91301;0000;2;27924;15581;478;2534;464;894;839;293;209;111;24;6497;20140101
AT1;AT13;AT130;91401;0000;2;46086;23878;898;4297;657;1234;1223;354;285;148;45;13067;20140101
AT1;AT13;AT130;91501;0000;2;37942;13769;761;3029;548;882;1203;314;269;218;39;16910;20140101
AT1;AT13;AT130;91601;0000;2;51056;21908;858;4326;691;1185;1550;412;368;243;44;19471;20140101
AT1;AT13;AT130;91701;0000;2;28124;12491;446;2394;445;657;1011;261;241;163;23;9992;20140101
AT1;AT13;AT130;91801;0000;2;26541;12063;387;2157;648;898;1189;394;249;160;24;8372;20140101
AT1;AT13;AT130;91901;0000;2;37676;19500;572;3299;636;968;959;335;283;146;59;10919;20140101
AT1;AT13;AT130;92001;0000;2;43439;17570;723;4336;482;889;873;251;211;146;51;17907;20140101
AT1;AT13;AT130;92101;0000;2;77553;43518;1170;9039;595;1375;1018;327;305;118;89;19999;20140101
AT1;AT13;AT130;92201;0000;2;88109;51570;1389;8592;772;1762;1153;378;295;142;88;21968;20140101
AT1;AT13;AT130;92301;0000;2;50939;29626;1154;5634;547;1336;877;307;219;130;52;11057;20140101
AT1;AT13;AT130;90101;0000;1;7871;3932;74;442;151;274;271;115;89;51;5;2467;20140101
AT1;AT13;AT130;90201;0000;1;48828;21044;650;3697;762;1207;1463;441;420;294;41;18809;20140101
AT1;AT13;AT130;90301;0000;1;41478;18892;722;3185;756;1229;1270;509;422;227;37;14229;20140101
AT1;AT13;AT130;90401;0000;1;15183;6464;210;1052;319;544;570;290;201;132;5;5396;20140101
AT1;AT13;AT130;90501;0000;1;26612;10057;510;1741;547;786;977;398;305;228;10;11053;20140101
AT1;AT13;AT130;90601;0000;1;14739;5896;311;1138;354;563;759;273;218;134;13;5080;20140101
AT1;AT13;AT130;90701;0000;1;14901;5862;261;1154;420;563;939;309;242;186;13;4952;20140101
AT1;AT13;AT130;90801;0000;1;12054;4891;176;860;326;388;716;222;161;148;1;4165;20140101
AT1;AT13;AT130;90901;0000;1;19680;7782;251;1565;592;666;971;338;236;196;7;7076;20140101
AT1;AT13;AT130;91001;0000;1;90621;44598;1650;5628;682;1512;1128;383;346;224;66;34404;20140101
AT1;AT13;AT130;91101;0000;1;45693;25193;912;3174;307;841;530;160;150;78;24;14324;20140101
AT1;AT13;AT130;91201;0000;1;43987;21214;758;2937;459;901;884;293;262;166;24;16089;20140101
AT1;AT13;AT130;91301;0000;1;23653;14546;291;1668;397;674;629;233;193;102;14;4906;20140101
AT1;AT13;AT130;91401;0000;1;41919;23244;568;3245;528;987;968;343;248;157;19;11612;20140101
AT1;AT13;AT130;91501;0000;1;37733;13990;536;2392;530;785;1117;362;314;237;25;17445;20140101
AT1;AT13;AT130;91601;0000;1;48904;21534;605;3073;697;1022;1339;417;364;263;27;19563;20140101
AT1;AT13;AT130;91701;0000;1;26838;12384;336;1707;407;595;860;255;209;163;17;9905;20140101
AT1;AT13;AT130;91801;0000;1;22520;11129;259;1432;470;589;947;311;218;175;17;6973;20140101
AT1;AT13;AT130;91901;0000;1;32129;18024;328;2153;475;747;785;349;249;130;19;8870;20140101
AT1;AT13;AT130;92001;0000;1;41567;17674;534;3307;470;788;838;250;229;162;29;17286;20140101
AT1;AT13;AT130;92101;0000;1;71790;42980;868;6989;556;1272;797;296;243;96;52;17641;20140101
AT1;AT13;AT130;92201;0000;1;80916;50666;1006;6848;708;1453;948;337;269;132;52;18497;20140101
AT1;AT13;AT130;92301;0000;1;45403;28066;834;4306;441;1099;694;232;223;123;29;9356;20140101
