Migrationshintergrund in Wien gemeldeter Personen, nach Geschlecht und Wiener Bezirk;;;;;;;;;;;;;;;;;;
Migration background of residents in Vienna  by sex and Vienna  district;;;;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;SEX;POP_TOTAL;POP_SCG;POP_TUR;POP_DEU;POP_POL;POP_BIH;POP_HRV;POP_ROU;POP_CZE;POP_HUN;POP_OTHER;POP_AUT;REF_DATE
AT1;AT13;AT130;92001;0000;1;41245;3830;3804;759;1035;1111;660;684;244;344;5941;22833;20110101
AT1;AT13;AT130;92101;0000;1;68133;2844;2223;1034;1395;797;542;635;597;432;6407;51227;20110101
AT1;AT13;AT130;92201;0000;1;76135;2379;1784;1167;1511;712;489;689;674;388;7718;58624;20110101
AT1;AT13;AT130;92301;0000;1;43896;1452;1066;949;653;591;409;325;402;298;2915;34836;20110101
AT1;AT13;AT130;90101;0000;2;8883;274;65;396;157;53;88;138;148;124;1874;5566;20120101
AT1;AT13;AT130;90201;0000;2;49421;3881;2117;1550;1301;896;564;992;602;536;7973;29009;20120101
AT1;AT13;AT130;90301;0000;2;45326;2633;1255;1763;1204;735;466;727;669;511;6676;28687;20120101
AT1;AT13;AT130;90401;0000;2;16653;730;309;881;346;190;163;266;208;214;3030;10316;20120101
AT1;AT13;AT130;90501;0000;2;27364;2352;1299;972;802;627;338;542;310;276;4220;15626;20120101
AT1;AT13;AT130;90601;0000;2;15611;737;333;728;385;192;145;202;157;228;2500;10004;20120101
AT1;AT13;AT130;90701;0000;2;16282;873;340;947;323;233;184;255;171;220;2350;10386;20120101
AT1;AT13;AT130;90801;0000;2;12533;512;189;693;244;113;96;130;133;152;1930;8341;20120101
AT1;AT13;AT130;90901;0000;2;21141;1038;368;1123;426;273;235;269;280;295;3272;13562;20120101
AT1;AT13;AT130;91001;0000;2;92538;7927;6763;1450;2316;2654;1165;1669;999;847;10197;56551;20120101
AT1;AT13;AT130;91101;0000;2;47183;3078;2522;774;1195;1084;529;909;478;474;4778;31362;20120101
AT1;AT13;AT130;91201;0000;2;46681;3726;2534;1059;1308;1236;661;771;534;467;5605;28780;20120101
AT1;AT13;AT130;91301;0000;2;27964;717;223;1226;487;180;135;223;475;304;2691;21303;20120101
AT1;AT13;AT130;91401;0000;2;45114;2852;1170;1305;1096;837;512;623;580;397;3902;31840;20120101
AT1;AT13;AT130;91501;0000;2;37071;4351;2288;981;1249;1327;782;866;357;457;5014;19399;20120101
AT1;AT13;AT130;91601;0000;2;49711;5266;3207;1151;1460;1312;840;905;490;399;5241;29440;20120101
AT1;AT13;AT130;91701;0000;2;27827;2656;1024;824;842;688;441;469;317;260;3154;17152;20120101
AT1;AT13;AT130;91801;0000;2;26246;1298;457;1240;569;306;258;358;340;305;3420;17695;20120101
AT1;AT13;AT130;91901;0000;2;37776;1246;603;1459;697;300;235;342;609;507;5377;26401;20120101
AT1;AT13;AT130;92001;0000;2;43237;3985;3388;831;1278;1101;585;845;483;391;6118;24232;20120101
AT1;AT13;AT130;92101;0000;2;75576;3219;2093;1307;1941;882;504;877;996;608;7685;55464;20120101
AT1;AT13;AT130;92201;0000;2;84919;2849;1699;1468;2298;765;462;861;1085;662;9402;63368;20120101
AT1;AT13;AT130;92301;0000;2;50374;1720;1052;1207;970;648;419;502;687;417;3801;38951;20120101
AT1;AT13;AT130;90101;0000;1;8183;230;62;439;75;35;84;77;95;89;1610;5387;20120101
AT1;AT13;AT130;90201;0000;1;46987;3693;2456;1587;1352;886;558;718;340;455;7750;27192;20120101
AT1;AT13;AT130;90301;0000;1;41143;2405;1462;1699;1030;689;476;529;368;469;6058;25958;20120101
AT1;AT13;AT130;90401;0000;1;14875;632;344;864;257;163;151;179;104;167;2650;9364;20120101
AT1;AT13;AT130;90501;0000;1;26247;2171;1481;1115;770;637;386;384;193;249;4222;14639;20120101
AT1;AT13;AT130;90601;0000;1;14305;603;398;793;324;183;140;123;108;148;2397;9088;20120101
AT1;AT13;AT130;90701;0000;1;14657;702;372;916;246;204;154;141;88;148;2182;9504;20120101
AT1;AT13;AT130;90801;0000;1;11843;495;207;692;214;135;88;185;97;136;1979;7615;20120101
AT1;AT13;AT130;90901;0000;1;19262;907;416;1157;423;267;215;189;146;185;3272;12085;20120101
AT1;AT13;AT130;91001;0000;1;87320;7298;7619;1312;2136;2637;1321;1322;583;741;10213;52138;20120101
AT1;AT13;AT130;91101;0000;1;44869;2797;2871;700;1021;994;614;805;275;483;4668;29641;20120101
AT1;AT13;AT130;91201;0000;1;42971;3477;2858;948;1223;1203;709;603;286;308;5431;25925;20120101
AT1;AT13;AT130;91301;0000;1;23257;580;255;935;313;142;123;158;226;211;2054;18260;20120101
AT1;AT13;AT130;91401;0000;1;40709;2516;1334;1100;983;821;534;427;299;268;3688;28739;20120101
AT1;AT13;AT130;91501;0000;1;36349;4184;2675;974;1443;1287;920;807;207;448;5354;18050;20120101
AT1;AT13;AT130;91601;0000;1;47500;5018;3680;1053;1633;1341;952;780;265;374;5562;26842;20120101
AT1;AT13;AT130;91701;0000;1;26132;2532;1178;754;908;703;479;361;168;259;3157;15633;20120101
AT1;AT13;AT130;91801;0000;1;22415;1179;561;1091;540;269;264;250;170;225;2911;14955;20120101
AT1;AT13;AT130;91901;0000;1;32065;1014;764;1199;479;257;207;232;320;342;4662;22589;20120101
AT1;AT13;AT130;92001;0000;1;41685;3779;3797;821;1158;1130;648;738;246;377;6267;22724;20120101
AT1;AT13;AT130;92101;0000;1;69397;2911;2310;1088;1549;820;557;738;584;466;6888;51486;20120101
AT1;AT13;AT130;92201;0000;1;78039;2436;1876;1246;1638;715;512;759;657;436;8378;59386;20120101
AT1;AT13;AT130;92301;0000;1;44560;1455;1190;985;704;654;424;395;382;309;3133;34929;20120101
AT1;AT13;AT130;90101;0000;2;8738;273;58;377;152;47;90;135;149;137;1830;5490;20130101
AT1;AT13;AT130;90201;0000;2;50306;3843;2092;1659;1378;917;552;1039;567;574;8377;29308;20130101
AT1;AT13;AT130;90301;0000;2;45845;2560;1243;1894;1242;763;471;769;659;564;7074;28606;20130101
AT1;AT13;AT130;90401;0000;2;16779;732;311;910;386;190;165;276;207;247;3184;10171;20130101
AT1;AT13;AT130;90501;0000;2;27505;2313;1276;1017;842;620;349;557;300;311;4410;15510;20130101
AT1;AT13;AT130;90601;0000;2;15754;727;326;784;401;194;144;222;157;231;2576;9992;20130101
AT1;AT13;AT130;90701;0000;2;16272;862;326;971;322;210;181;279;162;222;2428;10309;20130101
AT1;AT13;AT130;90801;0000;2;12518;487;185;734;237;121;99;143;125;173;1888;8326;20130101
AT1;AT13;AT130;90901;0000;2;21342;1033;317;1261;420;266;263;319;256;288;3418;13501;20130101
AT1;AT13;AT130;91001;0000;2;93515;8029;6916;1486;2422;2745;1187;1821;972;987;11044;55906;20130101
AT1;AT13;AT130;91101;0000;2;47663;3151;2594;768;1223;1131;556;961;475;509;4961;31334;20130101
AT1;AT13;AT130;91201;0000;2;47066;3771;2515;1075;1406;1277;656;825;518;515;5832;28676;20130101
AT1;AT13;AT130;91301;0000;2;27870;733;234;1194;497;185;141;227;466;344;2684;21165;20130101
AT1;AT13;AT130;91401;0000;2;45566;2851;1168;1347;1177;849;529;707;563;459;4161;31755;20130101
AT1;AT13;AT130;91501;0000;2;37778;4338;2274;1048;1315;1369;785;924;353;519;5366;19487;20130101
AT1;AT13;AT130;91601;0000;2;50500;5303;3145;1215;1572;1319;847;966;461;468;5636;29568;20130101
AT1;AT13;AT130;91701;0000;2;27956;2567;1003;860;855;689;423;495;310;301;3310;17143;20130101
AT1;AT13;AT130;91801;0000;2;26535;1297;443;1333;579;316;251;389;336;335;3620;17636;20130101
AT1;AT13;AT130;91901;0000;2;37920;1241;597;1497;722;295;235;387;599;546;5567;26234;20130101
AT1;AT13;AT130;92001;0000;2;43405;3981;3359;888;1318;1099;587;874;486;482;6430;23901;20130101
AT1;AT13;AT130;92101;0000;2;76593;3335;2231;1333;2077;906;533;947;949;651;8122;55509;20130101
AT1;AT13;AT130;92201;0000;2;86653;2896;1797;1542;2400;799;463;970;1065;730;10021;63970;20130101
AT1;AT13;AT130;92301;0000;2;50763;1747;1107;1216;1012;682;427;555;676;449;3971;38921;20130101
AT1;AT13;AT130;90101;0000;1;8041;208;63;433;68;35;83;76;93;82;1574;5326;20130101
AT1;AT13;AT130;90201;0000;1;47906;3620;2433;1711;1412;890;582;771;329;548;8115;27495;20130101
AT1;AT13;AT130;90301;0000;1;41328;2341;1407;1764;1058;690;481;540;365;493;6258;25931;20130101
AT1;AT13;AT130;90401;0000;1;14976;618;354;861;276;160;157;175;99;179;2759;9338;20130101
AT1;AT13;AT130;90501;0000;1;26433;2120;1427;1127;798;638;389;431;192;283;4435;14593;20130101
AT1;AT13;AT130;90601;0000;1;14582;586;386;842;340;203;141;136;101;156;2473;9218;20130101
AT1;AT13;AT130;90701;0000;1;14768;690;353;970;254;189;151;146;88;164;2217;9546;20130101
AT1;AT13;AT130;90801;0000;1;11957;478;220;764;195;125;84;205;86;138;1997;7665;20130101
AT1;AT13;AT130;90901;0000;1;19614;891;393;1252;423;271;234;205;141;212;3480;12112;20130101
AT1;AT13;AT130;91001;0000;1;88794;7361;7783;1391;2319;2672;1362;1477;565;844;11291;51729;20130101
AT1;AT13;AT130;91101;0000;1;45285;2871;2910;684;1102;1032;627;879;266;474;4822;29618;20130101
AT1;AT13;AT130;91201;0000;1;43358;3420;2816;983;1356;1215;729;640;284;398;5568;25949;20130101
AT1;AT13;AT130;91301;0000;1;23399;564;268;958;345;148;120;164;212;230;2091;18299;20130101
AT1;AT13;AT130;91401;0000;1;41365;2505;1336;1160;1104;832;508;472;289;327;3971;28861;20130101
AT1;AT13;AT130;91501;0000;1;37158;4208;2644;1054;1509;1290;894;817;207;513;5744;18278;20130101
AT1;AT13;AT130;91601;0000;1;48347;4968;3645;1132;1796;1333;972;822;267;408;5955;27049;20130101
