Bevölkerungsindikatoren in Wien nach Wiener Bezirk ;;;;;;;;;;;;;;;;;;;;;;;
population indicators in Vienna by Vienna district ;;;;;;;;;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;DISTRICT_POP_RATIO;POP_DENSITY;RATE_M;RATE_F;SEX_RATIO;RATE_FOR_NATIONAL;RATE_FOR_BORN;RATE_MIG_BACKGROUND;AVERAGE_AGE_M;AVERAGE_AGE_F;WORKINGAGE_RATIO;YOUTH_RATIO;AGE_RATIO;OLD_AGE_RATIO;DEPENDENCY_RATIO;YOUTH_DEP_RATIO;AGE_DEP_RATIO;OLD_AGED_DER_RATIO;REF_DATE
AT1;AT13;AT130;92301;0;5,483379383;2911,775605;46,86529441;53,13470559;113,3775137;11,23117784;19,27088911;21,0636794;40,48430073;43,70611118;60,0477649;20,09767173;19,85456337;2,559599032;66,53409192;33,46947511;33,06461681;12,89174173;20110101
AT1;AT13;AT130;90101;0;0,948701403;5678,250322;47,87599754;52,12400246;108,8729324;20,28238183;31,54696133;33,33947207;45,25580203;47,55258509;61,67587477;13,86126458;24,46286065;4,143646409;62,13795163;22,47437046;39,66358117;16,93851945;20120101
AT1;AT13;AT130;90201;0;5,624768503;5019,336092;49,21621006;50,78378994;103,1850886;28,77451285;37,79586258;41,60713176;37,86679009;41,04509868;64,81124847;19,75212773;15,4366238;2,421776314;54,2942041;30,47638827;23,81781583;15,6885103;20120101
AT1;AT13;AT130;90301;0;4,925443368;11432,46028;47,48740748;52,51259252;110,5821423;23,60063376;32,65779081;35,39622106;39,57601713;42,65070251;65,94225176;17,10691229;16,95083595;2,632014567;51,64783934;25,94226287;25,70557647;15,52734375;20120101
AT1;AT13;AT130;90401;0;1,789312579;17307,44638;47,07720349;52,92279651;112,4170354;24,28720219;33,66098164;36,00117172;39,98852323;43,05774908;66,56685327;15,97773727;17,45540945;3,10180966;50,22491688;24,00254254;26,22237434;17,7699049;20120101
AT1;AT13;AT130;90501;0;3,062226426;26138,39146;48,84654153;51,15345847;104,7227846;29,09796314;38,71740743;42,34799642;37,96129886;40,83961037;69,12953348;16,97951732;13,8909492;2,160476218;44,65597403;24,56188616;20,09408787;15,55312158;20120101
AT1;AT13;AT130;90601;0;1,711506251;20196,7543;47,9481421;52,0518579;108,5586545;22,77119913;32,27848101;34,54130938;39,43268753;42,29875139;70,36885804;14,60800327;15,0231387;2,507826324;42,10831721;20,75918762;21,34912959;16,69309173;20120101
AT1;AT13;AT130;90701;0;1,753030137;18716,64775;47,26088834;52,73911166;111,5914523;23,2782964;31,7597422;33,9124946;39,20455504;41,47275591;71,43284276;14,4015149;14,16564234;2,295604797;39,99162869;20,16091526;19,83071342;16,2054409;20120101
AT1;AT13;AT130;90801;0;1,372093619;21615,75527;48,33191851;51,66808149;106,9026082;22,64006791;30,30135823;32,31324278;38,96179854;42,07738438;69,762309;14,79202037;15,44567063;2,393887946;43,34387929;21,20345583;22,14042346;15,4987634;20120101
AT1;AT13;AT130;90901;0;2,296393188;13288,35302;47,47533666;52,52466334;110,6356838;24,96005681;32,65197433;35,0333494;38,70149573;41,9912124;69,46818493;14,75235221;15,77946286;2,782075017;43,95078855;21,23612734;22,71466121;17,63098682;20120101
