NUTS1;NUTS2;NUTS3;DISTRICT_CODE;DISTRICT_NAME;LAU_CODE;LAU_NAME;DEATHS;YEAR
AT2;AT22;AT225;610;Leibnitz;61011;Gleinstätten;9;2012
AT2;AT22;AT225;610;Leibnitz;61012;Gralla;12;2012
AT2;AT22;AT225;610;Leibnitz;61013;Großklein;29;2012
AT2;AT22;AT225;610;Leibnitz;61014;Hainsdorf im Schwarzautal;5;2012
AT2;AT22;AT225;610;Leibnitz;61015;Heiligenkreuz am Waasen;22;2012
AT2;AT22;AT225;610;Leibnitz;61016;Heimschuh;17;2012
AT2;AT22;AT225;610;Leibnitz;61017;Hengsberg;6;2012
AT2;AT22;AT225;610;Leibnitz;61018;Kaindorf an der Sulm;24;2012
AT2;AT22;AT225;610;Leibnitz;61019;Kitzeck im Sausal;12;2012
AT2;AT22;AT225;610;Leibnitz;61020;Lang;10;2012
AT2;AT22;AT225;610;Leibnitz;61021;Lebring-Sankt Margarethen;20;2012
AT2;AT22;AT225;610;Leibnitz;61022;Leibnitz;79;2012
AT2;AT22;AT225;610;Leibnitz;61023;Leutschach;5;2012
AT2;AT22;AT225;610;Leibnitz;61024;Oberhaag;22;2012
AT2;AT22;AT225;610;Leibnitz;61025;Obervogau;10;2012
AT2;AT22;AT225;610;Leibnitz;61026;Pistorf;9;2012
AT2;AT22;AT225;610;Leibnitz;61027;Ragnitz;14;2012
AT2;AT22;AT225;610;Leibnitz;61028;Ratsch an der Weinstraße;3;2012
AT2;AT22;AT225;610;Leibnitz;61029;Retznei;3;2012
AT2;AT22;AT225;610;Leibnitz;61030;Sankt Andrä-Höch;26;2012
AT2;AT22;AT225;610;Leibnitz;61031;Sankt Georgen an der Stiefing;12;2012
AT2;AT22;AT225;610;Leibnitz;61032;Sankt Johann im Saggautal;19;2012
AT2;AT22;AT225;610;Leibnitz;61033;Sankt Nikolai im Sausal;30;2012
AT2;AT22;AT225;610;Leibnitz;61034;Sankt Nikolai ob Draßling;6;2012
AT2;AT22;AT225;610;Leibnitz;61035;Sankt Ulrich am Waasen;3;2012
AT2;AT22;AT225;610;Leibnitz;61036;Sankt Veit am Vogau;36;2012
AT2;AT22;AT225;610;Leibnitz;61037;Schloßberg;2;2012
AT2;AT22;AT225;610;Leibnitz;61038;Seggauberg;5;2012
AT2;AT22;AT225;610;Leibnitz;61039;Spielfeld;11;2012
AT2;AT22;AT225;610;Leibnitz;61040;Stocking;12;2012
AT2;AT22;AT225;610;Leibnitz;61041;Straß in Steiermark;14;2012
AT2;AT22;AT225;610;Leibnitz;61042;Sulztal an der Weinstraße;3;2012
AT2;AT22;AT225;610;Leibnitz;61043;Tillmitsch;33;2012
AT2;AT22;AT225;610;Leibnitz;61044;Vogau;10;2012
AT2;AT22;AT225;610;Leibnitz;61045;Wagna;53;2012
AT2;AT22;AT225;610;Leibnitz;61046;Weitendorf;14;2012
AT2;AT22;AT225;610;Leibnitz;61047;Wildon;30;2012
AT2;AT22;AT225;610;Leibnitz;61048;Wolfsberg im Schwarzautal;11;2012
AT2;AT22;AT223;611;Leoben;61101;Eisenerz;82;2012
AT2;AT22;AT223;611;Leoben;61104;Hieflau;9;2012
AT2;AT22;AT223;611;Leoben;61105;Kalwang;11;2012
AT2;AT22;AT223;611;Leoben;61106;Kammern im Liesingtal;28;2012
AT2;AT22;AT223;611;Leoben;61107;Kraubath an der Mur;16;2012
AT2;AT22;AT223;611;Leoben;61108;Leoben;246;2012
AT2;AT22;AT223;611;Leoben;61109;Mautern in Steiermark;29;2012
AT2;AT22;AT223;611;Leoben;61110;Niklasdorf;32;2012
AT2;AT22;AT223;611;Leoben;61111;Proleb;13;2012
AT2;AT22;AT223;611;Leoben;61112;Radmer;8;2012
AT2;AT22;AT223;611;Leoben;61113;Sankt Michael in Obersteiermark;44;2012
AT2;AT22;AT223;611;Leoben;61114;Sankt Peter-Freienstein;21;2012
AT2;AT22;AT223;611;Leoben;61115;Sankt Stefan ob Leoben;12;2012
AT2;AT22;AT223;611;Leoben;61116;Traboch;10;2012
AT2;AT22;AT223;611;Leoben;61118;Vordernberg;32;2012
AT2;AT22;AT223;611;Leoben;61119;Wald am Schoberpaß;12;2012
AT2;AT22;AT223;611;Leoben;61120;Trofaiach;114;2012
AT2;AT22;AT222;612;Liezen;61201;Admont;44;2012
AT2;AT22;AT222;612;Liezen;61202;Aich;2;2012
AT2;AT22;AT222;612;Liezen;61203;Aigen im Ennstal;19;2012
AT2;AT22;AT222;612;Liezen;61204;Altaussee;13;2012
AT2;AT22;AT222;612;Liezen;61205;Altenmarkt bei Sankt Gallen;12;2012
AT2;AT22;AT222;612;Liezen;61206;Ardning;17;2012
AT2;AT22;AT222;612;Liezen;61207;Bad Aussee;64;2012
AT2;AT22;AT222;612;Liezen;61208;Donnersbach;6;2012
AT2;AT22;AT222;612;Liezen;61209;Donnersbachwald;4;2012
