NUTS1;NUTS2;NUTS3;DISTRICT_CODE;DISTRICT_NAME;LAU_CODE;LAU_NAME;LIVEBIRTHS;YEAR
AT2;AT22;AT225;610;Leibnitz;61035;Sankt Ulrich am Waasen;3;2012
AT2;AT22;AT225;610;Leibnitz;61036;Sankt Veit am Vogau;24;2012
AT2;AT22;AT225;610;Leibnitz;61037;Schloßberg;10;2012
AT2;AT22;AT225;610;Leibnitz;61038;Seggauberg;7;2012
AT2;AT22;AT225;610;Leibnitz;61039;Spielfeld;6;2012
AT2;AT22;AT225;610;Leibnitz;61040;Stocking;7;2012
AT2;AT22;AT225;610;Leibnitz;61041;Straß in Steiermark;11;2012
AT2;AT22;AT225;610;Leibnitz;61042;Sulztal an der Weinstraße;1;2012
AT2;AT22;AT225;610;Leibnitz;61043;Tillmitsch;23;2012
AT2;AT22;AT225;610;Leibnitz;61044;Vogau;10;2012
AT2;AT22;AT225;610;Leibnitz;61045;Wagna;44;2012
AT2;AT22;AT225;610;Leibnitz;61046;Weitendorf;13;2012
AT2;AT22;AT225;610;Leibnitz;61047;Wildon;31;2012
AT2;AT22;AT225;610;Leibnitz;61048;Wolfsberg im Schwarzautal;8;2012
AT2;AT22;AT223;611;Leoben;61101;Eisenerz;13;2012
AT2;AT22;AT223;611;Leoben;61104;Hieflau;0;2012
AT2;AT22;AT223;611;Leoben;61105;Kalwang;3;2012
AT2;AT22;AT223;611;Leoben;61106;Kammern im Liesingtal;14;2012
AT2;AT22;AT223;611;Leoben;61107;Kraubath an der Mur;7;2012
AT2;AT22;AT223;611;Leoben;61108;Leoben;171;2012
AT2;AT22;AT223;611;Leoben;61109;Mautern in Steiermark;12;2012
AT2;AT22;AT223;611;Leoben;61110;Niklasdorf;26;2012
AT2;AT22;AT223;611;Leoben;61111;Proleb;6;2012
AT2;AT22;AT223;611;Leoben;61112;Radmer;4;2012
AT2;AT22;AT223;611;Leoben;61113;Sankt Michael in Obersteiermark;14;2012
AT2;AT22;AT223;611;Leoben;61114;Sankt Peter-Freienstein;17;2012
