Geburtsland in Wien gemeldeter Personen nach Geschlecht und Wiener Zählbezirk;;;;;;;;;;;;;;;;;;
Country of birth of residents in Vienna by sex and of Vienna subdistrict;;;;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;SEX;POP_TOTAL;POP_SCG;POP_TUR;POP_DEU;POP_POL;POP_BIH;POP_HRV;POP_ROU;POP_CZE;POP_HUN;POP_OTHER;POP_AUT;REF_DATE
AT1;AT13;AT130;91301;1301;2;243;15;1;18;0;2;1;4;7;2;14;179;20110101
AT1;AT13;AT130;91301;1302;2;3330;69;19;194;59;17;17;16;44;31;386;2478;20110101
AT1;AT13;AT130;91301;1303;2;4815;145;38;203;84;37;15;43;74;62;482;3632;20110101
AT1;AT13;AT130;91301;1304;2;5573;112;35;221;91;29;15;41;109;61;480;4379;20110101
AT1;AT13;AT130;91301;1305;2;2310;70;8;90;34;11;7;22;38;16;198;1816;20110101
AT1;AT13;AT130;91301;1306;2;1359;35;5;55;28;11;4;8;11;11;136;1055;20110101
AT1;AT13;AT130;91301;1307;2;1771;63;29;55;27;26;6;9;42;23;142;1349;20110101
AT1;AT13;AT130;91301;1308;2;3539;82;26;107;47;20;9;32;71;43;293;2809;20110101
AT1;AT13;AT130;91301;1309;2;2895;102;37;62;43;12;4;17;66;19;235;2298;20110101
AT1;AT13;AT130;91301;1310;2;28;0;2;0;0;1;0;0;0;0;0;25;20110101
AT1;AT13;AT130;91301;1311;2;2257;16;0;69;28;3;5;8;43;7;164;1914;20110101
AT1;AT13;AT130;91301;1399;2;25;0;0;1;0;0;0;0;0;0;3;21;20110101
AT1;AT13;AT130;91401;1401;2;3397;270;93;80;92;85;25;34;41;21;284;2372;20110101
AT1;AT13;AT130;91401;1402;2;4245;550;264;103;168;171;45;116;46;36;405;2341;20110101
AT1;AT13;AT130;91401;1403;2;4581;255;84;177;102;57;33;51;61;50;445;3266;20110101
AT1;AT13;AT130;91401;1404;2;10153;782;322;196;254;282;80;162;141;89;794;7051;20110101
AT1;AT13;AT130;91401;1405;2;2151;89;42;45;36;24;6;18;24;14;116;1737;20110101
AT1;AT13;AT130;91401;1406;2;6414;334;135;149;142;128;42;80;95;55;504;4750;20110101
AT1;AT13;AT130;91401;1407;2;1577;109;55;17;32;34;10;17;16;3;108;1176;20110101
AT1;AT13;AT130;91401;1408;2;2054;56;22;44;21;20;10;13;30;17;135;1686;20110101
AT1;AT13;AT130;91401;1409;2;109;4;0;1;1;4;0;5;1;2;4;87;20110101
AT1;AT13;AT130;91401;1410;2;3849;98;33;116;46;36;15;35;53;31;278;3108;20110101
AT1;AT13;AT130;91401;1411;2;3337;19;9;104;32;5;6;17;79;28;190;2848;20110101
AT1;AT13;AT130;91401;1412;2;2911;49;15;87;34;22;9;10;34;15;201;2435;20110101
AT1;AT13;AT130;91401;1499;2;115;2;0;3;4;3;0;2;1;0;4;96;20110101
AT1;AT13;AT130;91501;1501;2;5356;517;261;125;140;180;55;82;71;61;512;3352;20110101
AT1;AT13;AT130;91501;1502;2;4643;603;272;126;183;214;57;105;28;57;608;2390;20110101
AT1;AT13;AT130;91501;1503;2;5839;722;367;146;161;277;62;141;46;82;871;2964;20110101
AT1;AT13;AT130;91501;1504;2;3698;408;259;77;130;167;38;52;35;46;571;1915;20110101
AT1;AT13;AT130;91501;1505;2;5641;499;271;143;129;196;46;129;70;59;667;3432;20110101
AT1;AT13;AT130;91501;1506;2;7052;947;422;148;269;307;70;170;55;62;787;3815;20110101
AT1;AT13;AT130;91501;1507;2;4487;377;218;71;115;133;40;53;60;33;326;3061;20110101
AT1;AT13;AT130;91501;1599;2;27;0;0;0;1;1;0;3;0;0;18;4;20110101
AT1;AT13;AT130;91601;1601;2;6883;841;518;177;184;208;51;144;57;64;831;3808;20110101
AT1;AT13;AT130;91601;1602;2;4008;610;379;83;154;172;30;106;28;40;526;1880;20110101
AT1;AT13;AT130;91601;1603;2;6273;590;363;100;155;167;44;57;83;45;471;4198;20110101
AT1;AT13;AT130;91601;1604;2;4191;365;200;81;109;114;25;81;49;26;348;2793;20110101
AT1;AT13;AT130;91601;1605;2;7916;895;298;164;251;259;77;144;69;70;676;5013;20110101
AT1;AT13;AT130;91601;1606;2;5305;425;283;97;98;103;31;49;69;20;422;3708;20110101
AT1;AT13;AT130;91601;1607;2;4935;415;239;92;131;104;19;49;49;27;373;3437;20110101
AT1;AT13;AT130;91601;1608;2;1683;40;31;33;22;10;7;10;23;15;72;1420;20110101
AT1;AT13;AT130;91601;1609;2;2799;29;12;99;28;17;8;6;46;14;154;2386;20110101
AT1;AT13;AT130;91601;1610;2;5042;875;488;108;155;199;62;108;46;27;600;2374;20110101
AT1;AT13;AT130;91601;1699;2;253;4;0;4;1;2;1;2;6;0;4;229;20110101
