Wanderung gegenüber Wien nach Geburtsstaat und Geschlecht - Zeitreihe;;;;;;;;;;;;;;;
Migration in Vienna by country of birth and sex - time series;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;SEX;COUNTRY_OF_BIRTH;MIG_NET_TOTAL;MIG_NET_EXT;IMM_EXT;EMI_EXT;MIG_NET_INT;IMM_INT;EMI_INT;MIG_VIE_INT;REF_DATE
AT1;AT13;AT130;00000;00000000;1;TUR;583;536;1555;1019;47;341;294;5141;2009
AT1;AT13;AT130;00000;00000000;1;BIH;68;33;501;468;35;246;211;2148;2009
AT1;AT13;AT130;00000;00000000;1;HRV;-18;-1;274;275;-17;38;55;493;2009
AT1;AT13;AT130;00000;00000000;1;MKD;20;32;286;254;-12;55;67;735;2009
AT1;AT13;AT130;00000;00000000;1;RUS;489;102;415;313;387;552;165;1132;2009
AT1;AT13;AT130;00000;00000000;1;CHN;-6;-4;437;441;-2;127;129;692;2009
AT1;AT13;AT130;00000;00000000;1;OTHER;1130;47;5591;5544;1083;2307;1224;11098;2009
AT1;AT13;AT130;00000;00000000;2;AUT;-816;-1099;1533;2632;283;11496;11213;39404;2010
AT1;AT13;AT130;00000;00000000;2;DEU;961;986;2052;1066;-25;355;380;2198;2010
AT1;AT13;AT130;00000;00000000;2;POL;363;416;1184;768;-53;128;181;1759;2010
AT1;AT13;AT130;00000;00000000;2;ROU;1047;1057;2132;1075;-10;237;247;1800;2010
AT1;AT13;AT130;00000;00000000;2;SVK;265;266;830;564;-1;129;130;967;2010
AT1;AT13;AT130;00000;00000000;2;HUN;352;358;930;572;-6;145;151;760;2010
AT1;AT13;AT130;00000;00000000;2;BGR;499;491;1042;551;8;62;54;851;2010
AT1;AT13;AT130;00000;00000000;2;CZE;20;47;265;218;-27;70;97;471;2010
AT1;AT13;AT130;00000;00000000;2;REST-EU;464;493;1666;1173;-29;142;171;1119;2010
AT1;AT13;AT130;00000;00000000;2;SCG;692;711;2062;1351;-19;248;267;4409;2010
AT1;AT13;AT130;00000;00000000;2;TUR;346;315;873;558;31;202;171;3103;2010
AT1;AT13;AT130;00000;00000000;2;BIH;165;105;364;259;60;252;192;1716;2010
AT1;AT13;AT130;00000;00000000;2;HRV;-3;1;198;197;-4;55;59;496;2010
AT1;AT13;AT130;00000;00000000;2;MKD;141;149;292;143;-8;28;36;477;2010
AT1;AT13;AT130;00000;00000000;2;RUS;460;172;519;347;288;455;167;1291;2010
AT1;AT13;AT130;00000;00000000;2;CHN;-48;-68;335;403;20;127;107;745;2010
AT1;AT13;AT130;00000;00000000;2;OTHER;1236;777;4224;3447;459;1089;630;6681;2010
AT1;AT13;AT130;00000;00000000;1;AUT;-488;-923;3299;4222;435;11281;10846;40790;2010
AT1;AT13;AT130;00000;00000000;1;DEU;1069;1086;2307;1221;-17;400;417;2132;2010
AT1;AT13;AT130;00000;00000000;1;POL;389;421;1584;1163;-32;132;164;1805;2010
AT1;AT13;AT130;00000;00000000;1;ROU;637;754;2235;1481;-117;187;304;1528;2010
AT1;AT13;AT130;00000;00000000;1;SVK;-4;31;505;474;-35;56;91;410;2010
AT1;AT13;AT130;00000;00000000;1;HUN;283;288;913;625;-5;122;127;507;2010
AT1;AT13;AT130;00000;00000000;1;BGR;323;320;1031;711;3;38;35;585;2010
AT1;AT13;AT130;00000;00000000;1;CZE;-42;-7;165;172;-35;36;71;250;2010
AT1;AT13;AT130;00000;00000000;1;REST-EU;442;449;1896;1447;-7;171;178;1308;2010
AT1;AT13;AT130;00000;00000000;1;SCG;550;632;2752;2120;-82;258;340;5067;2010
AT1;AT13;AT130;00000;00000000;1;TUR;407;413;1467;1054;-6;326;332;4969;2010
AT1;AT13;AT130;00000;00000000;1;BIH;100;70;585;515;30;235;205;1975;2010
AT1;AT13;AT130;00000;00000000;1;HRV;20;15;284;269;5;59;54;477;2010
AT1;AT13;AT130;00000;00000000;1;MKD;106;132;437;305;-26;50;76;676;2010
AT1;AT13;AT130;00000;00000000;1;RUS;345;106;415;309;239;413;174;1258;2010
AT1;AT13;AT130;00000;00000000;1;CHN;-87;-116;381;497;29;145;116;634;2010
AT1;AT13;AT130;00000;00000000;1;OTHER;783;-156;5429;5585;939;2126;1187;11067;2010
AT1;AT13;AT130;00000;00000000;2;AUT;-1274;-1048;1311;2359;-226;11367;11593;40021;2011
AT1;AT13;AT130;00000;00000000;2;DEU;761;827;2033;1206;-66;351;417;2315;2011
AT1;AT13;AT130;00000;00000000;2;POL;844;914;1686;772;-70;132;202;1985;2011
AT1;AT13;AT130;00000;00000000;2;ROU;729;765;2097;1332;-36;223;259;1986;2011
AT1;AT13;AT130;00000;00000000;2;SVK;444;513;1096;583;-69;108;177;1022;2011
AT1;AT13;AT130;00000;00000000;2;HUN;485;477;1142;665;8;155;147;840;2011
AT1;AT13;AT130;00000;00000000;2;BGR;406;432;1004;572;-26;52;78;959;2011
AT1;AT13;AT130;00000;00000000;2;CZE;2;62;305;243;-60;59;119;466;2011
AT1;AT13;AT130;00000;00000000;2;REST-EU;472;474;1808;1334;-2;175;177;1324;2011
AT1;AT13;AT130;00000;00000000;2;SCG;216;241;1645;1404;-25;263;288;4218;2011
AT1;AT13;AT130;00000;00000000;2;TUR;228;165;749;584;63;209;146;3026;2011
AT1;AT13;AT130;00000;00000000;2;BIH;338;246;527;281;92;280;188;1748;2011
AT1;AT13;AT130;00000;00000000;2;HRV;51;46;216;170;5;62;57;460;2011
AT1;AT13;AT130;00000;00000000;2;MKD;96;88;211;123;8;41;33;518;2011
AT1;AT13;AT130;00000;00000000;2;RUS;676;307;677;370;369;504;135;1490;2011
AT1;AT13;AT130;00000;00000000;2;CHN;115;59;397;338;56;154;98;765;2011
AT1;AT13;AT130;00000;00000000;2;OTHER;1555;948;4364;3416;607;1238;631;7162;2011
AT1;AT13;AT130;00000;00000000;1;AUT;-1164;-1023;2946;3969;-141;11238;11379;41147;2011
AT1;AT13;AT130;00000;00000000;1;DEU;798;846;2326;1480;-48;376;424;2401;2011
AT1;AT13;AT130;00000;00000000;1;POL;1250;1306;2661;1355;-56;127;183;1933;2011
AT1;AT13;AT130;00000;00000000;1;ROU;614;706;2365;1659;-92;194;286;1570;2011
AT1;AT13;AT130;00000;00000000;1;SVK;202;242;809;567;-40;62;102;437;2011
AT1;AT13;AT130;00000;00000000;1;HUN;414;480;1273;793;-66;105;171;639;2011
AT1;AT13;AT130;00000;00000000;1;BGR;262;290;1041;751;-28;33;61;712;2011
AT1;AT13;AT130;00000;00000000;1;CZE;45;71;269;198;-26;42;68;234;2011
AT1;AT13;AT130;00000;00000000;1;REST-EU;436;488;2089;1601;-52;185;237;1439;2011
AT1;AT13;AT130;00000;00000000;1;SCG;-18;85;2295;2210;-103;275;378;4744;2011
AT1;AT13;AT130;00000;00000000;1;TUR;268;225;1422;1197;43;308;265;4871;2011
AT1;AT13;AT130;00000;00000000;1;BIH;125;111;705;594;14;227;213;2051;2011
AT1;AT13;AT130;00000;00000000;1;HRV;33;28;265;237;5;46;41;476;2011
AT1;AT13;AT130;00000;00000000;1;MKD;15;81;351;270;-66;51;117;678;2011
AT1;AT13;AT130;00000;00000000;1;RUS;393;92;444;352;301;460;159;1355;2011
AT1;AT13;AT130;00000;00000000;1;CHN;81;51;444;393;30;124;94;738;2011
AT1;AT13;AT130;00000;00000000;1;OTHER;1923;808;5872;5064;1115;2403;1288;11549;2011
AT1;AT13;AT130;00000;00000000;2;AUT;-208;-864;1460;2324;656;12254;11598;41023;2012
AT1;AT13;AT130;00000;00000000;2;DEU;1162;1196;2456;1260;-34;375;409;2298;2012
AT1;AT13;AT130;00000;00000000;2;POL;956;1013;1861;848;-57;145;202;2093;2012
AT1;AT13;AT130;00000;00000000;2;ROU;915;966;2256;1290;-51;238;289;1996;2012
AT1;AT13;AT130;00000;00000000;2;SVK;593;642;1252;610;-49;146;195;1233;2012
AT1;AT13;AT130;00000;00000000;2;HUN;906;937;1611;674;-31;166;197;1046;2012
AT1;AT13;AT130;00000;00000000;2;BGR;583;574;1154;580;9;76;67;977;2012
AT1;AT13;AT130;00000;00000000;2;CZE;126;155;404;249;-29;64;93;520;2012
AT1;AT13;AT130;00000;00000000;2;REST-EU;1019;1038;2357;1319;-19;185;204;1445;2012
AT1;AT13;AT130;00000;00000000;2;SCG;766;802;1979;1177;-36;251;287;4092;2012
AT1;AT13;AT130;00000;00000000;2;TUR;256;304;853;549;-48;189;237;3016;2012
AT1;AT13;AT130;00000;00000000;2;BIH;365;292;573;281;73;271;198;1798;2012
AT1;AT13;AT130;00000;00000000;2;HRV;102;92;259;167;10;63;53;509;2012
AT1;AT13;AT130;00000;00000000;2;MKD;133;139;255;116;-6;32;38;448;2012
AT1;AT13;AT130;00000;00000000;2;RUS;798;483;842;359;315;489;174;1702;2012
AT1;AT13;AT130;00000;00000000;2;CHN;203;192;479;287;11;130;119;846;2012
AT1;AT13;AT130;00000;00000000;2;OTHER;2997;2257;5279;3022;740;1400;660;7492;2012
AT1;AT13;AT130;00000;00000000;1;AUT;16;-836;2994;3830;852;11908;11056;41945;2012
AT1;AT13;AT130;00000;00000000;1;DEU;1098;1131;2613;1482;-33;383;416;2490;2012
AT1;AT13;AT130;00000;00000000;1;POL;1221;1294;2769;1475;-73;132;205;2282;2012
AT1;AT13;AT130;00000;00000000;1;ROU;568;733;2421;1688;-165;187;352;1722;2012
AT1;AT13;AT130;00000;00000000;1;SVK;381;430;1006;576;-49;70;119;540;2012
AT1;AT13;AT130;00000;00000000;1;HUN;667;693;1744;1051;-26;140;166;781;2012
AT1;AT13;AT130;00000;00000000;1;BGR;372;381;1093;712;-9;52;61;775;2012
AT1;AT13;AT130;00000;00000000;1;CZE;36;79;297;218;-43;38;81;258;2012
AT1;AT13;AT130;00000;00000000;1;REST-EU;1059;1102;2796;1694;-43;201;244;1609;2012
AT1;AT13;AT130;00000;00000000;1;SCG;608;739;2599;1860;-131;254;385;4738;2012
AT1;AT13;AT130;00000;00000000;1;TUR;225;249;1398;1149;-24;312;336;4894;2012
AT1;AT13;AT130;00000;00000000;1;BIH;303;290;804;514;13;228;215;1971;2012
AT1;AT13;AT130;00000;00000000;1;HRV;93;84;278;194;9;58;49;483;2012
AT1;AT13;AT130;00000;00000000;1;MKD;82;112;375;263;-30;51;81;649;2012
AT1;AT13;AT130;00000;00000000;1;RUS;526;211;621;410;315;476;161;1738;2012
AT1;AT13;AT130;00000;00000000;1;CHN;35;34;411;377;1;118;117;677;2012
AT1;AT13;AT130;00000;00000000;1;OTHER;3352;2177;7112;4935;1175;2698;1523;12556;2012
AT1;AT13;AT130;00000;00000000;2;AUT;-1337;-673;1760;2433;-664;11274;11938;39627;2013
AT1;AT13;AT130;00000;00000000;2;DEU;954;1022;2419;1397;-68;347;415;2602;2013
AT1;AT13;AT130;00000;00000000;2;POL;1094;1171;1944;773;-77;161;238;2258;2013
AT1;AT13;AT130;00000;00000000;2;ROU;835;916;2174;1258;-81;258;339;1959;2013
AT1;AT13;AT130;00000;00000000;2;SVK;679;749;1332;583;-70;140;210;1267;2013
AT1;AT13;AT130;00000;00000000;2;HUN;1148;1207;1991;784;-59;158;217;1292;2013
AT1;AT13;AT130;00000;00000000;2;BGR;424;432;1162;730;-8;62;70;1065;2013
AT1;AT13;AT130;00000;00000000;2;CZE;45;114;376;262;-69;53;122;546;2013
AT1;AT13;AT130;00000;00000000;2;REST-EU;795;816;2446;1630;-21;174;195;1633;2013
AT1;AT13;AT130;00000;00000000;2;SCG;980;1013;2235;1222;-33;241;274;4254;2013
AT1;AT13;AT130;00000;00000000;2;TUR;372;386;908;522;-14;195;209;2876;2013
AT1;AT13;AT130;00000;00000000;2;BIH;586;579;870;291;7;240;233;1821;2013
AT1;AT13;AT130;00000;00000000;2;HRV;206;204;351;147;2;61;59;504;2013
AT1;AT13;AT130;00000;00000000;2;MKD;120;145;269;124;-25;30;55;500;2013
AT1;AT13;AT130;00000;00000000;2;RUS;526;277;755;478;249;429;180;1580;2013
AT1;AT13;AT130;00000;00000000;2;CHN;146;141;477;336;5;122;117;804;2013
AT1;AT13;AT130;00000;00000000;2;OTHER;3225;2528;6136;3608;697;1506;809;8160;2013
AT1;AT13;AT130;00000;00000000;1;AUT;-739;-609;3409;4018;-130;11224;11354;41253;2013
AT1;AT13;AT130;00000;00000000;1;DEU;873;975;2563;1588;-102;345;447;2476;2013
AT1;AT13;AT130;00000;00000000;1;POL;1445;1487;2854;1367;-42;160;202;2468;2013
AT1;AT13;AT130;00000;00000000;1;ROU;732;916;2424;1508;-184;211;395;1606;2013
AT1;AT13;AT130;00000;00000000;1;SVK;521;589;1197;608;-68;80;148;582;2013
AT1;AT13;AT130;00000;00000000;1;HUN;1063;1131;2084;953;-68;150;218;1004;2013
AT1;AT13;AT130;00000;00000000;1;BGR;491;500;1237;737;-9;65;74;816;2013
AT1;AT13;AT130;00000;00000000;1;CZE;66;95;330;235;-29;48;77;259;2013
AT1;AT13;AT130;00000;00000000;1;REST-EU;1197;1204;2949;1745;-7;236;243;1794;2013
AT1;AT13;AT130;00000;00000000;1;SCG;914;1029;2911;1882;-115;284;399;4854;2013
AT1;AT13;AT130;00000;00000000;1;TUR;213;249;1410;1161;-36;278;314;4645;2013
AT1;AT13;AT130;00000;00000000;1;BIH;713;746;1280;534;-33;244;277;2088;2013
AT1;AT13;AT130;00000;00000000;1;HRV;243;253;460;207;-10;63;73;538;2013
AT1;AT13;AT130;00000;00000000;1;MKD;180;230;449;219;-50;36;86;666;2013
AT1;AT13;AT130;00000;00000000;1;RUS;330;117;569;452;213;384;171;1505;2013
AT1;AT13;AT130;00000;00000000;1;CHN;113;76;394;318;37;146;109;687;2013
AT1;AT13;AT130;00000;00000000;1;OTHER;3558;2327;7589;5262;1231;2915;1684;13287;2013
