Wanderung gegenüber Wien nach Geburtsstaat und Geschlecht - Zeitreihe;;;;;;;;;;;;;;;
Migration in Vienna by country of birth and sex - time series;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;SEX;COUNTRY_OF_BIRTH;MIG_NET_TOTAL;MIG_NET_EXT;IMM_EXT;EMI_EXT;MIG_NET_INT;IMM_INT;EMI_INT;MIG_VIE_INT;REF_DATE
AT1;AT13;AT130;00000;00000000;1;BGR;190;192;499;307;-2;34;36;474;2003
AT1;AT13;AT130;00000;00000000;1;CZE;-34;-11;159;170;-23;58;81;303;2003
AT1;AT13;AT130;00000;00000000;1;REST-EU;303;330;1337;1007;-27;137;164;913;2003
AT1;AT13;AT130;00000;00000000;1;SCG;2005;1947;3626;1679;58;435;377;5632;2003
AT1;AT13;AT130;00000;00000000;1;TUR;1604;1559;2444;885;45;389;344;5001;2003
AT1;AT13;AT130;00000;00000000;1;BIH;643;584;935;351;59;242;183;2089;2003
AT1;AT13;AT130;00000;00000000;1;HRV;87;97;325;228;-10;46;56;439;2003
AT1;AT13;AT130;00000;00000000;1;MKD;258;246;412;166;12;69;57;660;2003
AT1;AT13;AT130;00000;00000000;1;RUS;390;324;510;186;66;122;56;445;2003
AT1;AT13;AT130;00000;00000000;1;CHN;492;471;713;242;21;141;120;781;2003
AT1;AT13;AT130;00000;00000000;1;OTHER;2072;1971;6532;4561;101;1145;1044;9541;2003
AT1;AT13;AT130;00000;00000000;2;AUT;-3037;-882;1643;2525;-2155;8948;11103;37827;2004
AT1;AT13;AT130;00000;00000000;2;DEU;832;880;1449;569;-48;241;289;1394;2004
AT1;AT13;AT130;00000;00000000;2;POL;1458;1522;2029;507;-64;106;170;1402;2004
AT1;AT13;AT130;00000;00000000;2;ROU;610;573;1124;551;37;217;180;1167;2004
AT1;AT13;AT130;00000;00000000;2;SVK;570;564;888;324;6;91;85;649;2004
AT1;AT13;AT130;00000;00000000;2;HUN;206;210;471;261;-4;111;115;528;2004
AT1;AT13;AT130;00000;00000000;2;BGR;312;295;580;285;17;61;44;606;2004
AT1;AT13;AT130;00000;00000000;2;CZE;31;76;269;193;-45;79;124;522;2004
AT1;AT13;AT130;00000;00000000;2;REST-EU;256;289;1127;838;-33;120;153;866;2004
AT1;AT13;AT130;00000;00000000;2;SCG;2299;2251;3374;1123;48;363;315;5736;2004
AT1;AT13;AT130;00000;00000000;2;TUR;1411;1381;1830;449;30;211;181;3335;2004
AT1;AT13;AT130;00000;00000000;2;BIH;744;642;848;206;102;226;124;1854;2004
AT1;AT13;AT130;00000;00000000;2;HRV;183;174;318;144;9;54;45;486;2004
AT1;AT13;AT130;00000;00000000;2;MKD;318;316;371;55;2;29;27;446;2004
AT1;AT13;AT130;00000;00000000;2;RUS;553;537;725;188;16;221;205;895;2004
AT1;AT13;AT130;00000;00000000;2;CHN;366;349;613;264;17;166;149;1185;2004
AT1;AT13;AT130;00000;00000000;2;OTHER;2578;2376;4542;2166;202;801;599;5957;2004
AT1;AT13;AT130;00000;00000000;1;AUT;-2561;-550;3936;4486;-2011;8993;11004;38254;2004
AT1;AT13;AT130;00000;00000000;1;DEU;829;885;1518;633;-56;242;298;1250;2004
AT1;AT13;AT130;00000;00000000;1;POL;2163;2190;3004;814;-27;138;165;1399;2004
AT1;AT13;AT130;00000;00000000;1;ROU;127;204;1030;826;-77;128;205;828;2004
AT1;AT13;AT130;00000;00000000;1;SVK;225;206;454;248;19;68;49;310;2004
