NUTS1;NUTS2;NUTS3;DISTRICT_CODE;DISTRICT_NAME;LAU_CODE;LAU_NAME;POP_0_14;POP_15_29;POP_30_44;POP_45_59;POP_60_74;POP_75;POP_TOTAL;REF_DATE
AT2;AT22;AT221;606;Graz-Umgebung;60629;Lieboch;654;785;1053;1092;746;356;4686;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60630;Mellach;167;186;309;288;165;81;1196;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60631;Nestelbach bei Graz;135;173;245;269;161;88;1071;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60632;Peggau;302;426;447;471;320;162;2128;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60633;Pirka;481;570;731;802;421;196;3201;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60634;Hart-Purgstall;225;279;332;412;248;122;1618;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60635;Raaba;339;356;493;518;320;153;2179;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60636;Röthelstein;38;28;54;51;32;16;219;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60637;Rohrbach-Steinberg;204;260;300;336;231;97;1428;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60639;Sankt Bartholomä;186;240;248;344;247;116;1381;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60640;Sankt Marein bei Graz;168;233;261;318;175;101;1256;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60641;Sankt Oswald bei Plankenwarth;160;201;229;312;183;94;1179;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60642;Sankt Radegund bei Graz;287;316;398;515;335;167;2018;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60643;Schrems bei Frohnleiten;107;117;142;122;60;55;603;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60644;Seiersberg;1114;1303;1695;1719;995;518;7344;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60645;Semriach;530;554;665;735;464;305;3253;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60646;Stattegg;422;389;605;649;510;154;2729;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60647;Stiwoll;111;100;157;172;114;60;714;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60648;Thal;360;358;461;551;369;134;2233;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60649;Tulwitz;92;90;111;102;74;45;514;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60650;Tyrnau;29;28;35;28;26;7;153;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60651;Übelbach;215;368;372;467;323;205;1950;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60652;Unterpremstätten;461;641;726;873;564;345;3610;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60653;Vasoldsberg;626;726;905;1013;689;263;4222;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60654;Weinitzen;367;407;526;611;491;181;2583;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60655;Werndorf;328;374;559;493;314;130;2198;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60656;Wundschuh;224;261;338;346;249;99;1517;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60657;Zettling;247;299;379;369;165;86;1545;01.01.2012
AT2;AT22;AT221;606;Graz-Umgebung;60658;Zwaring-Pöls;249;249;364;345;238;88;1533;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61001;Allerheiligen bei Wildon;190;226;329;330;227;135;1437;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61002;Arnfels;169;179;216;220;184;103;1071;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61003;Berghausen;99;111;153;140;96;44;643;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61004;Breitenfeld am Tannenriegel;18;44;45;45;33;14;199;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61005;Ehrenhausen;126;198;208;259;177;78;1046;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61006;Eichberg-Trautenburg;111;156;153;188;116;62;786;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61007;Empersdorf;194;216;336;306;178;91;1321;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61008;Gabersdorf;178;218;246;228;155;87;1112;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61009;Gamlitz;461;551;689;708;470;245;3124;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61010;Glanz an der Weinstraße;223;221;296;301;214;142;1397;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61011;Gleinstätten;237;273;324;322;197;111;1464;01.01.2012
