Sterbefälle in Wien gemeldeter Personen nach Geschlecht und Wiener Zählbezirk;;;;;;;
Deaths of residents in Vienna by sex and Vienna subdistrict ;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;SEX;DEATH;REF_YEAR
AT1;AT13;AT130;91601;1603;2;51;2010
AT1;AT13;AT130;91601;1604;2;34;2010
AT1;AT13;AT130;91601;1605;2;67;2010
AT1;AT13;AT130;91601;1606;2;46;2010
AT1;AT13;AT130;91601;1607;2;48;2010
AT1;AT13;AT130;91601;1608;2;39;2010
AT1;AT13;AT130;91601;1609;2;39;2010
AT1;AT13;AT130;91601;1610;2;31;2010
AT1;AT13;AT130;91601;1699;2;53;2010
AT1;AT13;AT130;91701;1701;2;31;2010
AT1;AT13;AT130;91701;1702;2;42;2010
AT1;AT13;AT130;91701;1703;2;60;2010
AT1;AT13;AT130;91701;1704;2;53;2010
AT1;AT13;AT130;91701;1705;2;31;2010
AT1;AT13;AT130;91701;1706;2;18;2010
AT1;AT13;AT130;91701;1799;2;32;2010
AT1;AT13;AT130;91801;1801;2;11;2010
AT1;AT13;AT130;91801;1802;2;78;2010
AT1;AT13;AT130;91801;1803;2;41;2010
AT1;AT13;AT130;91801;1804;2;52;2010
AT1;AT13;AT130;91801;1805;2;63;2010
AT1;AT13;AT130;91801;1899;2;30;2010
AT1;AT13;AT130;91901;1901;2;31;2010
AT1;AT13;AT130;91901;1902;2;80;2010
AT1;AT13;AT130;91901;1904;2;109;2010
AT1;AT13;AT130;91901;1905;2;56;2010
AT1;AT13;AT130;91901;1906;2;23;2010
AT1;AT13;AT130;91901;1907;2;11;2010
AT1;AT13;AT130;91901;1908;2;81;2010
AT1;AT13;AT130;91901;1909;2;15;2010
AT1;AT13;AT130;91901;1910;2;80;2010
AT1;AT13;AT130;91901;1999;2;60;2010
AT1;AT13;AT130;92001;2001;2;27;2010
AT1;AT13;AT130;92001;2002;2;44;2010
AT1;AT13;AT130;92001;2003;2;64;2010
AT1;AT13;AT130;92001;2004;2;31;2010
AT1;AT13;AT130;92001;2005;2;38;2010
AT1;AT13;AT130;92001;2006;2;42;2010
AT1;AT13;AT130;92001;2007;2;76;2010
AT1;AT13;AT130;92001;2008;2;16;2010
AT1;AT13;AT130;92001;2099;2;52;2010
AT1;AT13;AT130;92101;2101;2;5;2010
AT1;AT13;AT130;92101;2102;2;17;2010
AT1;AT13;AT130;92101;2103;2;8;2010
AT1;AT13;AT130;92101;2104;2;19;2010
AT1;AT13;AT130;92101;2105;2;78;2010
AT1;AT13;AT130;92101;2106;2;2;2010
AT1;AT13;AT130;92101;2107;2;13;2010
AT1;AT13;AT130;92101;2108;2;11;2010
AT1;AT13;AT130;92101;2109;2;24;2010
AT1;AT13;AT130;92101;2110;2;25;2010
AT1;AT13;AT130;92101;2111;2;35;2010
AT1;AT13;AT130;92101;2112;2;19;2010
AT1;AT13;AT130;92101;2113;2;3;2010
AT1;AT13;AT130;92101;2114;2;36;2010
AT1;AT13;AT130;92101;2115;2;16;2010
AT1;AT13;AT130;92101;2116;2;16;2010
AT1;AT13;AT130;92101;2117;2;40;2010
AT1;AT13;AT130;92101;2118;2;22;2010
AT1;AT13;AT130;92101;2119;2;13;2010
AT1;AT13;AT130;92101;2120;2;3;2010
AT1;AT13;AT130;92101;2121;2;25;2010
AT1;AT13;AT130;92101;2122;2;38;2010
AT1;AT13;AT130;92101;2123;2;35;2010
AT1;AT13;AT130;92101;2124;2;27;2010
AT1;AT13;AT130;92101;2125;2;3;2010
AT1;AT13;AT130;92101;2126;2;47;2010
AT1;AT13;AT130;92101;2127;2;10;2010
AT1;AT13;AT130;92101;2129;2;2;2010
AT1;AT13;AT130;92101;2199;2;67;2010
AT1;AT13;AT130;92201;2201;2;5;2010
AT1;AT13;AT130;92201;2202;2;23;2010
AT1;AT13;AT130;92201;2203;2;4;2010
AT1;AT13;AT130;92201;2204;2;7;2010
AT1;AT13;AT130;92201;2206;2;42;2010
AT1;AT13;AT130;92201;2207;2;7;2010
AT1;AT13;AT130;92201;2208;2;35;2010
AT1;AT13;AT130;92201;2209;2;50;2010
AT1;AT13;AT130;92201;2210;2;50;2010
AT1;AT13;AT130;92201;2211;2;44;2010
AT1;AT13;AT130;92201;2212;2;14;2010
AT1;AT13;AT130;92201;2213;2;31;2010
AT1;AT13;AT130;92201;2214;2;21;2010
AT1;AT13;AT130;92201;2215;2;48;2010
AT1;AT13;AT130;92201;2216;2;4;2010
AT1;AT13;AT130;92201;2217;2;5;2010
AT1;AT13;AT130;92201;2218;2;13;2010
AT1;AT13;AT130;92201;2219;2;26;2010
AT1;AT13;AT130;92201;2220;2;7;2010
AT1;AT13;AT130;92201;2221;2;10;2010
AT1;AT13;AT130;92201;2222;2;83;2010
AT1;AT13;AT130;92201;2223;2;16;2010
AT1;AT13;AT130;92201;2224;2;3;2010
AT1;AT13;AT130;92201;2225;2;4;2010
AT1;AT13;AT130;92201;2226;2;16;2010
AT1;AT13;AT130;92201;2227;2;14;2010
AT1;AT13;AT130;92201;2228;2;7;2010
AT1;AT13;AT130;92201;2229;2;8;2010
AT1;AT13;AT130;92201;2232;2;8;2010
AT1;AT13;AT130;92201;2299;2;37;2010
AT1;AT13;AT130;92301;2301;2;4;2010
AT1;AT13;AT130;92301;2302;2;9;2010
AT1;AT13;AT130;92301;2303;2;15;2010
AT1;AT13;AT130;92301;2304;2;66;2010
AT1;AT13;AT130;92301;2305;2;14;2010
AT1;AT13;AT130;92301;2306;2;5;2010
AT1;AT13;AT130;92301;2307;2;51;2010
AT1;AT13;AT130;92301;2308;2;48;2010
AT1;AT13;AT130;92301;2309;2;43;2010
AT1;AT13;AT130;92301;2310;2;21;2010
AT1;AT13;AT130;92301;2311;2;43;2010
AT1;AT13;AT130;92301;2312;2;24;2010
AT1;AT13;AT130;92301;2313;2;21;2010
AT1;AT13;AT130;92301;2314;2;15;2010
AT1;AT13;AT130;92301;2315;2;6;2010
AT1;AT13;AT130;92301;2316;2;20;2010
AT1;AT13;AT130;92301;2317;2;1;2010
AT1;AT13;AT130;92301;2318;2;13;2010
AT1;AT13;AT130;92301;2319;2;26;2010
AT1;AT13;AT130;92301;2399;2;28;2010
AT1;AT13;AT130;90101;101;1;18;2010
AT1;AT13;AT130;90101;102;1;7;2010
AT1;AT13;AT130;90101;103;1;13;2010
AT1;AT13;AT130;90101;104;1;3;2010
AT1;AT13;AT130;90101;105;1;8;2010
AT1;AT13;AT130;90101;106;1;10;2010
AT1;AT13;AT130;90101;107;1;8;2010
AT1;AT13;AT130;90101;199;1;31;2010
AT1;AT13;AT130;90201;201;1;38;2010
AT1;AT13;AT130;90201;202;1;44;2010
AT1;AT13;AT130;90201;203;1;49;2010
AT1;AT13;AT130;90201;204;1;47;2010
AT1;AT13;AT130;90201;205;1;29;2010
AT1;AT13;AT130;90201;206;1;31;2010
AT1;AT13;AT130;90201;207;1;58;2010
AT1;AT13;AT130;90201;208;1;12;2010
AT1;AT13;AT130;90201;209;1;71;2010
AT1;AT13;AT130;90201;299;1;54;2010
AT1;AT13;AT130;90301;301;1;36;2010
AT1;AT13;AT130;90301;302;1;37;2010
AT1;AT13;AT130;90301;303;1;14;2010
AT1;AT13;AT130;90301;304;1;37;2010
AT1;AT13;AT130;90301;305;1;21;2010
AT1;AT13;AT130;90301;306;1;59;2010
AT1;AT13;AT130;90301;307;1;33;2010
AT1;AT13;AT130;90301;308;1;10;2010
AT1;AT13;AT130;90301;309;1;29;2010
AT1;AT13;AT130;90301;310;1;40;2010
AT1;AT13;AT130;90301;311;1;13;2010
AT1;AT13;AT130;90301;399;1;50;2010
AT1;AT13;AT130;90401;401;1;11;2010
AT1;AT13;AT130;90401;402;1;25;2010
AT1;AT13;AT130;90401;403;1;49;2010
AT1;AT13;AT130;90401;404;1;22;2010
AT1;AT13;AT130;90401;499;1;19;2010
AT1;AT13;AT130;90501;501;1;33;2010
AT1;AT13;AT130;90501;502;1;61;2010
AT1;AT13;AT130;90501;503;1;52;2010
AT1;AT13;AT130;90501;504;1;14;2010
AT1;AT13;AT130;90501;599;1;33;2010
AT1;AT13;AT130;90601;601;1;17;2010
AT1;AT13;AT130;90601;602;1;30;2010
AT1;AT13;AT130;90601;603;1;46;2010
AT1;AT13;AT130;90601;699;1;20;2010
AT1;AT13;AT130;90701;701;1;13;2010
AT1;AT13;AT130;90701;702;1;9;2010
AT1;AT13;AT130;90701;703;1;16;2010
AT1;AT13;AT130;90701;704;1;36;2010
AT1;AT13;AT130;90701;705;1;19;2010
AT1;AT13;AT130;90701;799;1;14;2010
AT1;AT13;AT130;90801;801;1;21;2010
AT1;AT13;AT130;90801;802;1;24;2010
AT1;AT13;AT130;90801;803;1;30;2010
AT1;AT13;AT130;90801;899;1;13;2010
AT1;AT13;AT130;90901;901;1;26;2010
AT1;AT13;AT130;90901;902;1;45;2010
AT1;AT13;AT130;90901;903;1;11;2010
AT1;AT13;AT130;90901;904;1;27;2010
AT1;AT13;AT130;90901;905;1;11;2010
AT1;AT13;AT130;90901;906;1;7;2010
AT1;AT13;AT130;90901;999;1;26;2010
AT1;AT13;AT130;91001;1001;1;1;2010
AT1;AT13;AT130;91001;1002;1;82;2010
AT1;AT13;AT130;91001;1003;1;22;2010
AT1;AT13;AT130;91001;1004;1;27;2010
AT1;AT13;AT130;91001;1005;1;39;2010
AT1;AT13;AT130;91001;1006;1;35;2010
AT1;AT13;AT130;91001;1007;1;35;2010
AT1;AT13;AT130;91001;1008;1;42;2010
AT1;AT13;AT130;91001;1009;1;16;2010
AT1;AT13;AT130;91001;1010;1;89;2010
AT1;AT13;AT130;91001;1011;1;39;2010
AT1;AT13;AT130;91001;1013;1;35;2010
AT1;AT13;AT130;91001;1014;1;22;2010
AT1;AT13;AT130;91001;1015;1;9;2010
AT1;AT13;AT130;91001;1016;1;32;2010
AT1;AT13;AT130;91001;1017;1;3;2010
AT1;AT13;AT130;91001;1018;1;13;2010
AT1;AT13;AT130;91001;1019;1;13;2010
AT1;AT13;AT130;91001;1020;1;64;2010
AT1;AT13;AT130;91001;1021;1;17;2010
AT1;AT13;AT130;91001;1022;1;21;2010
AT1;AT13;AT130;91001;1023;1;40;2010
AT1;AT13;AT130;91001;1099;1;104;2010
AT1;AT13;AT130;91101;1102;1;73;2010
AT1;AT13;AT130;91101;1103;1;61;2010
AT1;AT13;AT130;91101;1104;1;22;2010
AT1;AT13;AT130;91101;1105;1;40;2010
AT1;AT13;AT130;91101;1107;1;25;2010
AT1;AT13;AT130;91101;1108;1;1;2010
AT1;AT13;AT130;91101;1109;1;18;2010
AT1;AT13;AT130;91101;1110;1;57;2010
AT1;AT13;AT130;91101;1111;1;17;2010
AT1;AT13;AT130;91101;1112;1;5;2010
AT1;AT13;AT130;91101;1113;1;12;2010
AT1;AT13;AT130;91101;1199;1;40;2010
AT1;AT13;AT130;91201;1201;1;16;2010
AT1;AT13;AT130;91201;1202;1;82;2010
AT1;AT13;AT130;91201;1203;1;31;2010
AT1;AT13;AT130;91201;1204;1;30;2010
AT1;AT13;AT130;91201;1205;1;37;2010
AT1;AT13;AT130;91201;1206;1;35;2010
AT1;AT13;AT130;91201;1207;1;44;2010
AT1;AT13;AT130;91201;1208;1;16;2010
AT1;AT13;AT130;91201;1209;1;29;2010
AT1;AT13;AT130;91201;1210;1;40;2010
AT1;AT13;AT130;91201;1211;1;43;2010
AT1;AT13;AT130;91201;1299;1;59;2010
AT1;AT13;AT130;91301;1301;1;2;2010
AT1;AT13;AT130;91301;1302;1;24;2010
AT1;AT13;AT130;91301;1303;1;37;2010
AT1;AT13;AT130;91301;1304;1;47;2010
AT1;AT13;AT130;91301;1305;1;23;2010
AT1;AT13;AT130;91301;1306;1;6;2010
AT1;AT13;AT130;91301;1307;1;14;2010
AT1;AT13;AT130;91301;1308;1;40;2010
AT1;AT13;AT130;91301;1309;1;66;2010
AT1;AT13;AT130;91301;1311;1;18;2010
AT1;AT13;AT130;91301;1399;1;37;2010
AT1;AT13;AT130;91401;1401;1;13;2010
AT1;AT13;AT130;91401;1402;1;23;2010
AT1;AT13;AT130;91401;1403;1;49;2010
AT1;AT13;AT130;91401;1404;1;65;2010
AT1;AT13;AT130;91401;1405;1;15;2010
AT1;AT13;AT130;91401;1406;1;76;2010
AT1;AT13;AT130;91401;1407;1;10;2010
AT1;AT13;AT130;91401;1408;1;14;2010
AT1;AT13;AT130;91401;1409;1;9;2010
AT1;AT13;AT130;91401;1410;1;30;2010
AT1;AT13;AT130;91401;1411;1;31;2010
AT1;AT13;AT130;91401;1412;1;22;2010
AT1;AT13;AT130;91401;1499;1;40;2010
AT1;AT13;AT130;91501;1501;1;44;2010
AT1;AT13;AT130;91501;1502;1;17;2010
AT1;AT13;AT130;91501;1503;1;25;2010
AT1;AT13;AT130;91501;1504;1;30;2010
AT1;AT13;AT130;91501;1505;1;41;2010
AT1;AT13;AT130;91501;1506;1;41;2010
AT1;AT13;AT130;91501;1507;1;42;2010
AT1;AT13;AT130;91501;1599;1;42;2010
AT1;AT13;AT130;91601;1601;1;37;2010
AT1;AT13;AT130;91601;1602;1;24;2010
AT1;AT13;AT130;91601;1603;1;55;2010
AT1;AT13;AT130;91601;1604;1;24;2010
AT1;AT13;AT130;91601;1605;1;54;2010
AT1;AT13;AT130;91601;1606;1;44;2010
AT1;AT13;AT130;91601;1607;1;36;2010
AT1;AT13;AT130;91601;1608;1;14;2010
AT1;AT13;AT130;91601;1609;1;21;2010
AT1;AT13;AT130;91601;1610;1;37;2010
AT1;AT13;AT130;91601;1699;1;68;2010
AT1;AT13;AT130;91701;1701;1;27;2010
AT1;AT13;AT130;91701;1702;1;40;2010
AT1;AT13;AT130;91701;1703;1;52;2010
AT1;AT13;AT130;91701;1704;1;29;2010
AT1;AT13;AT130;91701;1705;1;26;2010
AT1;AT13;AT130;91701;1706;1;6;2010
AT1;AT13;AT130;91701;1799;1;25;2010
AT1;AT13;AT130;91801;1801;1;4;2010
AT1;AT13;AT130;91801;1802;1;34;2010
AT1;AT13;AT130;91801;1803;1;39;2010
AT1;AT13;AT130;91801;1804;1;43;2010
AT1;AT13;AT130;91801;1805;1;38;2010
AT1;AT13;AT130;91801;1899;1;26;2010
AT1;AT13;AT130;91901;1901;1;24;2010
AT1;AT13;AT130;91901;1902;1;45;2010
AT1;AT13;AT130;91901;1903;1;1;2010
AT1;AT13;AT130;91901;1904;1;51;2010
AT1;AT13;AT130;91901;1905;1;37;2010
AT1;AT13;AT130;91901;1906;1;26;2010
AT1;AT13;AT130;91901;1907;1;11;2010
AT1;AT13;AT130;91901;1908;1;52;2010
AT1;AT13;AT130;91901;1909;1;10;2010
AT1;AT13;AT130;91901;1910;1;45;2010
AT1;AT13;AT130;91901;1999;1;37;2010
AT1;AT13;AT130;92001;2001;1;33;2010
AT1;AT13;AT130;92001;2002;1;61;2010
AT1;AT13;AT130;92001;2003;1;43;2010
