Bevölkerungsindikatoren in Wien nach Wiener Bezirk ;;;;;;;;;;;;;;;;;;;;;;
population indicators in Vienna by Vienna district ;;;;;;;;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;DISTRICT_POP_RATIO;POP_DENSITY;RATE_M;RATE_F;SEX_RATIO;RATE_FOR_NATIONAL;RATE_FOR_BORN;RATE_MIG_BACKGROUND;AVERAGE_AGE_M;AVERAGE_AGE_F;WORKINGAGE_RATIO;YOUTH_RATIO;AGE_RATIO;OLD_AGE_RATIO;DEPENDENCY_RATIO;YOUTH_DEP_RATIO;AGE_DEP_RATIO;OLD_AGED_DER_RATIO;REF_DATE
AT1;AT13;AT130;91001;0000;10,3246504824;5581,58101524438;48,438432688734;51,561567311266;106,44763764881;24,857808962822;36,0787935442453;39,7909650970278;38,4527413504464;41,5737314606496;62,3106465891045;20,8939170392729;16,7954363716226;2,09372782664519;60,4862178038861;33,5318572074108;26,9543605964754;12,466051969824;20110101
AT1;AT13;AT130;91101;0000;5,29145750263672;3913,56697484412;48,7484891770135;51,2515108229865;105,134562502817;19,994506098231;30,9998901219646;33,9523129326448;37,0884686471622;39,7050853271589;63,4941215251071;22,292055818042;14,2138226568509;1,48994615976266;57,4948949572561;35,1088498944381;22,386045062818;10,4823747680891;20110101
AT1;AT13;AT130;91201;0000;5,16424391055047;10961,6191534;47,9093017495666;52,0906982504334;108,727734173051;24,3903537411902;35,8469748485736;39,2278939902276;38,1268270902853;41,703704504193;63,5045371642161;20,2956474747247;16,1998153610592;2,50388417284006;57,469063574797;31,959366024891;25,509697549906;15,4562513030787;20110101
AT1;AT13;AT130;91301;0000;2,99050781944973;1363,74482978046;45,2823952561485;54,7176047438515;120,836374565283;12,6411976280743;22,5469038592398;23,9875571109167;42,5708213473015;47,2967595224559;57,0137066200058;17,6241858656557;25,3621075143385;4,8896665694566;75,3964194373402;30,9121909633419;44,4842284739983;19,2794174013032;20110101
AT1;AT13;AT130;91401;0000;4,95208559358397;2522,67274827474;47,2919822009322;52,7080177990678;111,45233366435;17,9575687130898;27,732967020065;30,0212508658847;40,4019612711023;43,7742186977925;62,9589189062262;18,1383771852582;18,9027039085156;2,89645779765888;58,8337311651499;28,809861256154;30,023869908996;15,3229813664596;20110101
AT1;AT13;AT130;91501;0000;4,22066558058353;18499,745158002;49,3890595511964;50,6109404488036;102,473991018883;34,6796523080738;46,1160166958247;50,4828289228989;37,4002454466851;40,1306205770278;67,8150785888447;18,8902511261416;13,2946702850137;1,89136693620597;47,4598305876617;27,8555323081923;19,6042982794694;14,226505025386;20110101
AT1;AT13;AT130;91601;0000;5,57472286856185;11053,9543463223;48,5961911516239;51,4038088483761;105,777443931752;28,6289397384285;39,2503285288167;43,0195448572203;38,3336838716601;41,3632600888673;65,4418973321374;19,0963893118625;15,4617133560001;2,1161427588077;52,8073055285512;29,1806779606993;23,6266275678518;13,6863406408094;20110101
AT1;AT13;AT130;91701;0000;3,0996394064451;4670,75521289644;48,3981092436975;51,6018907563025;106,619641888226;27,2265156062425;36,4270708283313;39,9422268907563;38,7518796992481;41,5955652490004;65,4974489795918;18,562424969988;15,9401260504202;2,28653961584634;52,6777020447906;28,3406838879661;24,3370181568246;14,3445516592139;20110101
AT1;AT13;AT130;91801;0000;2,81259484331448;7650,6405187411;46,1354005167959;53,8645994832041;116,753293305852;22,2139534883721;32,4010335917313;34,8217054263566;39,4552827314275;43,081168208159;63,7622739018088;17,662015503876;18,5757105943152;3,31162790697674;56,8325498460042;27,6997892689253;29,1327605770789;17,8277320275985;20110101
AT1;AT13;AT130;91901;0000;4,02153095860209;2772,93136626042;45,7104441360167;54,2895558639833;118,768384097163;17,8015845477678;29,4037705297247;31,1965070552857;41,507828067179;46,125296263748;59,0272958593569;17,5008674531575;23,4718366874855;4,47027527180199;69,4131478397178;29,6487704516508;39,764377388067;19,0452725592855;20110101
AT1;AT13;AT130;92001;0000;4,88917649548648;14726,9702276708;49,0480550831837;50,9519449168163;103,881682628197;29,6309949935189;41,7630899858487;45,8479504346482;37,7195781306825;40,7825467955002;65,0402540105362;19,6144652816592;15,3452807078046;1,87534932394668;53,7509370486168;30,1574241676266;23,5935128809903;12,2210167389957;20110101
AT1;AT13;AT130;92101;0000;8,29452388510775;3210,0490526979;47,7579716951374;52,2420283048626;109,389126988786;14,1909842213359;24,6647647219633;26,8763011614947;39,3318558093113;42,051040534557;61,2416848332761;21,20972094686;17,5485942198639;1,82250229565193;63,2874736745719;34,6328175075543;28,6546561670177;10,3854603555023;20110101
