Wanderung gegenüber Wien nach Bezirken, Geburtsstaat und Geschlecht;;;;;;;;;;;;;;;;;;
Migration in Vienna by district, country of birth and sex;;;;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;SEX;COUNTRY_OF_BIRTH;MIG_NET_TOTAL;MIG_NET_EXT;IMM_EXT;EMI_EXT;MIG_NET_INT;IMM_INT;EMI_INT;IMM_DC;EMI_DC;MIG_DC_INT;REF_DATE
AT1;AT13;AT130;90101;00000000;1;BIH;2;3;3;0;-1;1;0;2;4;0;2002
AT1;AT13;AT130;90101;00000000;1;HRV;-2;2;6;4;-4;1;2;3;6;0;2002
AT1;AT13;AT130;90101;00000000;1;MKD;0;0;1;1;0;1;0;1;2;0;2002
AT1;AT13;AT130;90101;00000000;1;RUS;-6;-3;3;6;-3;1;1;3;6;3;2002
AT1;AT13;AT130;90101;00000000;1;CHN;2;0;2;2;2;1;0;7;6;0;2002
AT1;AT13;AT130;90101;00000000;1;OTHER;-12;7;64;57;-19;5;8;48;64;10;2002
AT1;AT13;AT130;90201;00000000;2;AUT;-182;-106;152;258;-76;595;534;1319;1456;682;2002
AT1;AT13;AT130;90201;00000000;2;DEU;33;18;53;35;15;14;15;61;45;17;2002
AT1;AT13;AT130;90201;00000000;2;POL;-4;29;52;23;-33;7;12;32;60;32;2002
AT1;AT13;AT130;90201;00000000;2;ROU;69;50;70;20;19;17;10;47;35;10;2002
AT1;AT13;AT130;90201;00000000;2;SVK;26;32;37;5;-6;2;3;17;22;5;2002
AT1;AT13;AT130;90201;00000000;2;HUN;18;10;29;19;8;9;4;22;19;9;2002
AT1;AT13;AT130;90201;00000000;2;BGR;40;28;41;13;12;2;1;27;16;8;2002
AT1;AT13;AT130;90201;00000000;2;CZE;12;2;21;19;10;7;2;26;21;15;2002
AT1;AT13;AT130;90201;00000000;2;REST-EU;14;0;54;54;14;8;11;48;31;19;2002
AT1;AT13;AT130;90201;00000000;2;SCG;71;98;180;82;-27;22;17;198;230;103;2002
AT1;AT13;AT130;90201;00000000;2;TUR;98;152;175;23;-54;11;9;121;177;67;2002
AT1;AT13;AT130;90201;00000000;2;BIH;-17;34;42;8;-51;8;5;46;100;21;2002
AT1;AT13;AT130;90201;00000000;2;HRV;2;15;24;9;-13;1;2;11;23;8;2002
AT1;AT13;AT130;90201;00000000;2;MKD;21;17;27;10;4;0;0;13;9;9;2002
AT1;AT13;AT130;90201;00000000;2;RUS;21;20;43;23;1;4;1;25;27;17;2002
AT1;AT13;AT130;90201;00000000;2;CHN;45;40;44;4;5;7;5;34;31;15;2002
AT1;AT13;AT130;90201;00000000;2;OTHER;132;124;320;196;8;54;28;216;234;90;2002
