Wanderung gegenüber Wien nach Zählbezirken, Staatsangehörigkeit und Geschlecht;;;;;;;;;;;;;;;;;;
Migration in Vienna by subdistrict, nationality and sex;;;;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;SEX;NATIONALITY;MIG_NET_TOTAL;MIG_NET_EXT;IMM_EXT;EMI_EXT;MIG_NET_INT;IMM_INT;EMI_INT;IMM_SDC;EMI_SDC;MIG_SDC_INT;REF_DATE
AT1;AT13;AT130;00000;9010104;1;HRV;2;0;0;0;2;0;0;2;0;0;2007
AT1;AT13;AT130;00000;9010104;1;MKD;1;1;1;0;0;0;0;0;0;0;2007
AT1;AT13;AT130;00000;9010104;1;CHN;2;0;0;0;2;0;0;2;0;0;2007
AT1;AT13;AT130;00000;9010104;1;OTHER;3;5;11;6;-2;0;0;6;8;0;2007
AT1;AT13;AT130;00000;9010105;2;AUT;9;-17;2;19;26;24;15;46;29;1;2007
AT1;AT13;AT130;00000;9010105;2;DEU;-4;1;1;0;-5;0;0;0;5;0;2007
AT1;AT13;AT130;00000;9010105;2;POL;4;2;2;0;2;0;0;2;0;0;2007
AT1;AT13;AT130;00000;9010105;2;ROU;-1;1;1;0;-2;0;0;0;2;0;2007
AT1;AT13;AT130;00000;9010105;2;SVK;-1;-1;0;1;0;0;0;0;0;0;2007
AT1;AT13;AT130;00000;9010105;2;HUN;0;0;1;1;0;0;0;0;0;0;2007
AT1;AT13;AT130;00000;9010105;2;BGR;1;1;1;0;0;0;0;0;0;0;2007
AT1;AT13;AT130;00000;9010105;2;REST-EU;-6;-4;2;6;-2;0;0;1;3;0;2007
AT1;AT13;AT130;00000;9010105;2;SCG;1;1;1;0;0;0;0;1;1;0;2007
AT1;AT13;AT130;00000;9010105;2;TUR;1;1;1;0;0;0;0;0;0;0;2007
AT1;AT13;AT130;00000;9010105;2;BIH;-1;0;0;0;-1;0;0;0;1;0;2007
AT1;AT13;AT130;00000;9010105;2;HRV;4;2;2;0;2;0;0;2;0;0;2007
AT1;AT13;AT130;00000;9010105;2;RUS;4;1;1;0;3;2;0;2;1;0;2007
AT1;AT13;AT130;00000;9010105;2;OTHER;7;5;8;3;2;0;0;4;2;0;2007
AT1;AT13;AT130;00000;9010105;1;AUT;-3;-2;7;9;-1;14;13;49;51;2;2007
AT1;AT13;AT130;00000;9010105;1;DEU;2;3;4;1;-1;0;1;2;2;0;2007
AT1;AT13;AT130;00000;9010105;1;POL;1;1;1;0;0;0;0;0;0;0;2007
AT1;AT13;AT130;00000;9010105;1;ROU;2;1;1;0;1;0;0;1;0;0;2007
AT1;AT13;AT130;00000;9010105;1;SVK;0;-1;0;1;1;1;0;0;0;0;2007
AT1;AT13;AT130;00000;9010105;1;HUN;1;2;3;1;-1;0;0;0;1;0;2007
AT1;AT13;AT130;00000;9010105;1;BGR;1;0;1;1;1;1;0;0;0;0;2007
AT1;AT13;AT130;00000;9010105;1;CZE;0;1;1;0;-1;0;0;0;1;0;2007
AT1;AT13;AT130;00000;9010105;1;REST-EU;1;2;6;4;-1;1;0;1;3;0;2007
AT1;AT13;AT130;00000;9010105;1;SCG;2;3;3;0;-1;0;0;0;1;0;2007
AT1;AT13;AT130;00000;9010105;1;TUR;2;2;2;0;0;0;0;1;1;0;2007
AT1;AT13;AT130;00000;9010105;1;HRV;3;0;0;0;3;0;0;3;0;0;2007
AT1;AT13;AT130;00000;9010105;1;RUS;3;-1;0;1;4;2;0;2;0;0;2007
AT1;AT13;AT130;00000;9010105;1;OTHER;5;5;8;3;0;0;0;2;2;0;2007
AT1;AT13;AT130;00000;9010106;2;AUT;-4;-6;8;14;2;19;9;48;56;9;2007
AT1;AT13;AT130;00000;9010106;2;DEU;-3;1;3;2;-4;0;0;2;6;0;2007
AT1;AT13;AT130;00000;9010106;2;ROU;1;2;2;0;-1;0;0;0;1;0;2007
AT1;AT13;AT130;00000;9010106;2;SVK;1;1;1;0;0;0;0;1;1;0;2007
AT1;AT13;AT130;00000;9010106;2;HUN;1;1;1;0;0;0;1;2;1;0;2007
AT1;AT13;AT130;00000;9010106;2;CZE;1;0;0;0;1;0;0;1;0;0;2007
AT1;AT13;AT130;00000;9010106;2;REST-EU;6;2;6;4;4;0;0;6;2;0;2007
AT1;AT13;AT130;00000;9010106;2;SCG;-3;-1;0;1;-2;0;0;1;3;0;2007
AT1;AT13;AT130;00000;9010106;2;TUR;0;0;1;1;0;0;0;0;0;0;2007
AT1;AT13;AT130;00000;9010106;2;BIH;-1;0;0;0;-1;0;0;1;2;0;2007
AT1;AT13;AT130;00000;9010106;2;HRV;-1;-1;0;1;0;0;0;5;5;0;2007
AT1;AT13;AT130;00000;9010106;2;RUS;3;2;2;0;1;2;1;1;1;0;2007
AT1;AT13;AT130;00000;9010106;2;OTHER;-5;-1;5;6;-4;2;1;3;8;0;2007
AT1;AT13;AT130;00000;9010106;1;AUT;-6;-1;8;9;-5;11;16;58;58;8;2007
AT1;AT13;AT130;00000;9010106;1;DEU;4;1;9;8;3;1;1;6;3;0;2007
AT1;AT13;AT130;00000;9010106;1;HUN;-1;0;0;0;-1;0;0;0;1;0;2007
AT1;AT13;AT130;00000;9010106;1;REST-EU;2;3;11;8;-1;0;0;3;4;0;2007
AT1;AT13;AT130;00000;9010106;1;SCG;-2;0;0;0;-2;0;0;0;2;0;2007
AT1;AT13;AT130;00000;9010106;1;TUR;1;1;1;0;0;0;0;1;1;0;2007
AT1;AT13;AT130;00000;9010106;1;BIH;-2;0;0;0;-2;0;0;0;2;0;2007
AT1;AT13;AT130;00000;9010106;1;HRV;-1;1;1;0;-2;0;1;1;2;0;2007
AT1;AT13;AT130;00000;9010106;1;MKD;2;1;1;0;1;0;0;1;0;0;2007
AT1;AT13;AT130;00000;9010106;1;RUS;0;1;1;0;-1;0;0;0;1;0;2007
AT1;AT13;AT130;00000;9010106;1;OTHER;9;10;11;1;-1;0;0;8;9;1;2007
AT1;AT13;AT130;00000;9010107;2;AUT;-27;-4;4;8;-23;18;19;44;66;2;2007
AT1;AT13;AT130;00000;9010107;2;DEU;3;-1;1;2;4;0;0;4;0;0;2007
AT1;AT13;AT130;00000;9010107;2;POL;-3;0;0;0;-3;0;0;1;4;0;2007
AT1;AT13;AT130;00000;9010107;2;ROU;0;1;2;1;-1;0;1;0;0;0;2007
AT1;AT13;AT130;00000;9010107;2;SVK;2;3;3;0;-1;0;1;1;1;0;2007
AT1;AT13;AT130;00000;9010107;2;HUN;1;0;0;0;1;0;0;2;1;0;2007
AT1;AT13;AT130;00000;9010107;2;CZE;1;1;1;0;0;0;0;1;1;0;2007
AT1;AT13;AT130;00000;9010107;2;REST-EU;-3;1;6;5;-4;1;0;2;7;0;2007
AT1;AT13;AT130;00000;9010107;2;SCG;1;-1;0;1;2;1;1;2;0;0;2007
AT1;AT13;AT130;00000;9010107;2;TUR;1;0;0;0;1;1;0;1;1;0;2007
AT1;AT13;AT130;00000;9010107;2;BIH;0;0;0;0;0;0;0;0;0;2;2007
AT1;AT13;AT130;00000;9010107;2;HRV;1;0;0;0;1;1;0;0;0;0;2007
AT1;AT13;AT130;00000;9010107;2;RUS;-1;0;0;0;-1;1;0;0;2;0;2007
AT1;AT13;AT130;00000;9010107;2;CHN;-4;0;0;0;-4;0;0;0;4;0;2007
AT1;AT13;AT130;00000;9010107;2;OTHER;2;2;11;9;0;0;1;8;7;0;2007
AT1;AT13;AT130;00000;9010107;1;AUT;-1;-11;7;18;10;22;17;68;63;4;2007
AT1;AT13;AT130;00000;9010107;1;DEU;-2;3;3;0;-5;0;2;2;5;0;2007
AT1;AT13;AT130;00000;9010107;1;POL;-1;0;0;0;-1;0;1;0;0;0;2007
AT1;AT13;AT130;00000;9010107;1;SVK;-1;0;0;0;-1;0;0;0;1;0;2007
AT1;AT13;AT130;00000;9010107;1;HUN;-1;-1;0;1;0;0;0;0;0;0;2007
AT1;AT13;AT130;00000;9010107;1;REST-EU;-3;2;9;7;-5;0;1;4;8;0;2007
AT1;AT13;AT130;00000;9010107;1;SCG;-1;-1;1;2;0;0;0;3;3;0;2007
AT1;AT13;AT130;00000;9010107;1;TUR;1;1;1;0;0;0;0;1;1;0;2007
AT1;AT13;AT130;00000;9010107;1;HRV;4;2;2;0;2;2;0;0;0;0;2007
AT1;AT13;AT130;00000;9010107;1;RUS;1;1;1;0;0;0;0;1;1;0;2007
AT1;AT13;AT130;00000;9010107;1;OTHER;0;4;16;12;-4;0;2;13;15;0;2007
AT1;AT13;AT130;00000;9010199;2;AUT;-24;-4;0;4;-20;1;6;1;16;0;2007
AT1;AT13;AT130;00000;9010199;2;DEU;-1;0;0;0;-1;0;0;0;1;0;2007
AT1;AT13;AT130;00000;9010199;2;POL;0;0;1;1;0;0;0;0;0;0;2007
AT1;AT13;AT130;00000;9010199;2;SVK;-1;0;0;0;-1;0;0;0;1;0;2007
AT1;AT13;AT130;00000;9010199;2;REST-EU;-2;-1;0;1;-1;0;0;0;1;0;2007
