Herkunftsgebiet (Österreichisches Bundesland,Ausland) in Wien gemeldeter Personen, nach Geschlecht und Wiener Zählbezirk ;;;;;;;;;;;;;;;;;;
Place of Birth (Austrian Provinces, Foreign) of residents in Vienna by sex and Vienna subdistrict;;;;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;SEX;POP_TOTAL;BORN_AT13;BORN_AT11;BORN_AT12;BORN_AT21;BORN_AT22;BORN_AT31;BORN_AT32;BORN_AT33;BORN_AT34;BORN_AT_UNCLASSIFIED;FOREIGN_BORN;REF_DATE
AT1;AT13;AT130;91101;1107;2;3495;2091;101;330;20;58;27;15;9;6;11;827;20110101
AT1;AT13;AT130;91101;1108;2;431;298;9;46;3;12;5;1;5;0;0;52;20110101
AT1;AT13;AT130;91101;1109;2;1255;808;41;101;16;21;4;10;1;1;2;250;20110101
AT1;AT13;AT130;91101;1110;2;13178;7649;334;1210;82;245;140;40;45;19;13;3401;20110101
AT1;AT13;AT130;91101;1111;2;2241;1104;44;185;5;33;24;4;3;3;1;835;20110101
AT1;AT13;AT130;91101;1112;2;160;104;2;19;0;1;0;0;0;0;0;34;20110101
AT1;AT13;AT130;91101;1113;2;2181;1256;91;223;14;43;20;3;3;4;2;522;20110101
AT1;AT13;AT130;91101;1199;2;72;61;0;7;0;0;0;0;1;0;0;3;20110101
AT1;AT13;AT130;91201;1201;2;1986;806;47;150;25;42;55;15;11;12;2;821;20110101
AT1;AT13;AT130;91201;1202;2;8947;3822;230;773;106;151;161;44;32;24;16;3588;20110101
AT1;AT13;AT130;91201;1203;2;2580;1292;48;192;9;37;20;7;6;2;3;964;20110101
AT1;AT13;AT130;91201;1204;2;4252;1692;118;370;55;119;100;32;25;14;6;1721;20110101
AT1;AT13;AT130;91201;1205;2;4278;1901;96;418;55;96;99;31;27;15;3;1537;20110101
AT1;AT13;AT130;91201;1206;2;4467;1772;112;396;75;141;126;48;41;25;7;1724;20110101
AT1;AT13;AT130;91201;1207;2;3578;1961;72;353;50;62;60;20;16;6;3;975;20110101
AT1;AT13;AT130;91201;1208;2;2219;1050;42;199;15;58;32;13;6;8;5;791;20110101
AT1;AT13;AT130;91201;1209;2;4084;2165;69;311;20;60;37;15;9;5;5;1388;20110101
AT1;AT13;AT130;91201;1210;2;4768;2473;131;471;54;132;106;26;30;13;9;1323;20110101
AT1;AT13;AT130;91201;1211;2;5068;3039;119;494;61;163;106;25;38;13;15;995;20110101
AT1;AT13;AT130;91201;1299;2;42;31;1;4;0;1;1;1;0;0;0;3;20110101
AT1;AT13;AT130;91301;1301;2;243;125;3;30;1;10;8;0;0;1;1;64;20110101
AT1;AT13;AT130;91301;1302;2;3330;1805;30;243;70;123;121;45;22;18;1;852;20110101
AT1;AT13;AT130;91301;1303;2;4815;2466;96;515;76;192;158;43;57;19;10;1183;20110101
AT1;AT13;AT130;91301;1304;2;5573;3117;80;518;88;211;203;71;46;37;8;1194;20110101
AT1;AT13;AT130;91301;1305;2;2310;1330;34;199;57;63;72;28;26;7;0;494;20110101
AT1;AT13;AT130;91301;1306;2;1359;768;21;134;18;43;42;13;10;3;3;304;20110101
AT1;AT13;AT130;91301;1307;2;1771;995;32;192;21;50;36;6;13;2;2;422;20110101
AT1;AT13;AT130;91301;1308;2;3539;1987;72;398;53;118;107;39;23;6;6;730;20110101
AT1;AT13;AT130;91301;1309;2;2895;1765;75;289;30;67;42;8;10;2;10;597;20110101
AT1;AT13;AT130;91301;1310;2;28;15;0;5;0;3;2;0;0;0;0;3;20110101
AT1;AT13;AT130;91301;1311;2;2257;1510;44;201;32;49;41;17;9;8;3;343;20110101
