Staatsangehigkeit in Wien gemeldeter Personen nach Geschlecht und Alter;;;;;;;;;;;;;;;;;;;
Nationality of residents in Vienna by sex and age;;;;;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;SEX;AGE;POP_TOTAL;POP_SCG;POP_TUR;POP_DEU;POP_POL;POP_BIH;POP_HRV;POP_ROU;POP_CZE;POP_HUN;POP_OTHER;POP_AUT;REF_DATE
AT1;AT13;AT130;00000;0000;2;96;580;2;1;4;0;0;0;0;0;0;2;571;20110101
AT1;AT13;AT130;00000;0000;2;97;445;0;0;3;0;0;0;0;0;0;2;440;20110101
AT1;AT13;AT130;00000;0000;2;98;308;0;0;1;1;0;0;0;0;1;5;300;20110101
AT1;AT13;AT130;00000;0000;2;99;173;0;0;1;0;0;0;0;0;0;0;172;20110101
AT1;AT13;AT130;00000;0000;2;100;116;1;0;1;0;0;0;0;0;0;2;112;20110101
AT1;AT13;AT130;00000;0000;2;101;74;0;1;0;0;0;0;0;0;0;0;73;20110101
AT1;AT13;AT130;00000;0000;2;102;32;0;0;1;0;0;0;0;0;0;0;31;20110101
AT1;AT13;AT130;00000;0000;2;103;20;0;0;0;0;0;0;0;0;0;0;20;20110101
AT1;AT13;AT130;00000;0000;2;104;13;0;0;0;0;0;0;0;0;0;1;12;20110101
AT1;AT13;AT130;00000;0000;2;105;6;0;0;0;0;0;0;0;0;0;0;6;20110101
AT1;AT13;AT130;00000;0000;2;106;7;2;0;0;0;0;0;0;0;0;1;4;20110101
AT1;AT13;AT130;00000;0000;2;107;1;0;0;0;0;0;0;0;0;0;0;1;20110101
AT1;AT13;AT130;00000;0000;2;108;2;0;0;0;0;0;0;0;0;0;0;2;20110101
AT1;AT13;AT130;00000;0000;2;110;1;0;0;0;0;0;0;0;0;0;0;1;20110101
AT1;AT13;AT130;00000;0000;2;111;1;0;1;0;0;0;0;0;0;0;0;0;20110101
AT1;AT13;AT130;00000;0000;1;0;9079;395;308;223;200;75;66;135;19;50;1028;6580;20110101
AT1;AT13;AT130;00000;0000;1;1;8990;384;299;200;210;86;60;131;21;44;1080;6475;20110101
AT1;AT13;AT130;00000;0000;1;2;9058;387;310;172;203;72;66;129;25;40;896;6758;20110101
AT1;AT13;AT130;00000;0000;1;3;8582;406;293;152;177;59;75;107;19;29;877;6388;20110101
AT1;AT13;AT130;00000;0000;1;4;8590;412;227;142;166;75;57;96;12;40;832;6531;20110101
AT1;AT13;AT130;00000;0000;1;5;8319;333;230;126;156;64;60;84;10;27;773;6456;20110101
AT1;AT13;AT130;00000;0000;1;6;8458;327;202;137;145;64;66;93;12;34;719;6659;20110101
