Lebendgeburten in Wien gemeldeter Personen  nach Geschlecht und Wiener Zählbezirk;;;;;;
Life birth of residents in Vienna  by sex and Vienna subdistrict ;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;SEX;LIVEBIRTH;REF_YEAR
AT1;AT13;AT130;91301;1305;1;19;2010
AT1;AT13;AT130;91301;1306;1;10;2010
AT1;AT13;AT130;91301;1307;1;15;2010
AT1;AT13;AT130;91301;1308;1;26;2010
AT1;AT13;AT130;91301;1309;1;10;2010
AT1;AT13;AT130;91301;1311;1;10;2010
AT1;AT13;AT130;91301;1399;1;12;2010
AT1;AT13;AT130;91401;1401;1;23;2010
AT1;AT13;AT130;91401;1402;1;58;2010
AT1;AT13;AT130;91401;1403;1;46;2010
AT1;AT13;AT130;91401;1404;1;91;2010
AT1;AT13;AT130;91401;1405;1;12;2010
AT1;AT13;AT130;91401;1406;1;56;2010
AT1;AT13;AT130;91401;1407;1;20;2010
AT1;AT13;AT130;91401;1408;1;15;2010
AT1;AT13;AT130;91401;1410;1;34;2010
AT1;AT13;AT130;91401;1411;1;30;2010
AT1;AT13;AT130;91401;1412;1;20;2010
AT1;AT13;AT130;91401;1499;1;23;2010
AT1;AT13;AT130;91501;1501;1;61;2010
AT1;AT13;AT130;91501;1502;1;53;2010
AT1;AT13;AT130;91501;1503;1;78;2010
AT1;AT13;AT130;91501;1504;1;47;2010
AT1;AT13;AT130;91501;1505;1;46;2010
AT1;AT13;AT130;91501;1506;1;92;2010
AT1;AT13;AT130;91501;1507;1;52;2010
AT1;AT13;AT130;91501;1599;1;23;2010
AT1;AT13;AT130;91601;1601;1;80;2010
AT1;AT13;AT130;91601;1602;1;46;2010
AT1;AT13;AT130;91601;1603;1;61;2010
AT1;AT13;AT130;91601;1604;1;51;2010
AT1;AT13;AT130;91601;1605;1;89;2010
AT1;AT13;AT130;91601;1606;1;40;2010
AT1;AT13;AT130;91601;1607;1;57;2010
AT1;AT13;AT130;91601;1608;1;8;2010
AT1;AT13;AT130;91601;1609;1;19;2010
AT1;AT13;AT130;91601;1610;1;78;2010
AT1;AT13;AT130;91601;1699;1;30;2010
AT1;AT13;AT130;91701;1701;1;70;2010
AT1;AT13;AT130;91701;1702;1;68;2010
AT1;AT13;AT130;91701;1703;1;96;2010
AT1;AT13;AT130;91701;1704;1;17;2010
