Migrationshintergrund in Wien gemeldeter Personen nach Geschlecht und Alter;;;;;;;;;;;;;;;;;;;
Migration background of residents in Vienna by sex and age;;;;;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;SEX;AGE;POP_TOTAL;POP_SCG;POP_TUR;POP_DEU;POP_POL;POP_BIH;POP_HRV;POP_ROU;POP_CZE;POP_HUN;POP_OTHER;POP_AUT;REF_DATE
AT1;AT13;AT130;00000;0000;2;72;6570;318;73;205;64;65;39;42;175;71;412;5106;20110101
AT1;AT13;AT130;00000;0000;2;73;5501;319;75;178;77;43;43;42;183;74;411;4056;20110101
AT1;AT13;AT130;00000;0000;2;74;5339;332;43;137;65;45;31;43;194;63;348;4038;20110101
AT1;AT13;AT130;00000;0000;2;75;5200;287;43;129;65;40;37;39;209;54;307;3990;20110101
AT1;AT13;AT130;00000;0000;2;76;5217;270;40;108;67;25;25;37;214;53;284;4094;20110101
AT1;AT13;AT130;00000;0000;2;77;5281;251;62;100;52;24;28;32;209;55;278;4190;20110101
AT1;AT13;AT130;00000;0000;2;78;5498;253;58;85;52;20;37;38;226;39;253;4437;20110101
AT1;AT13;AT130;00000;0000;2;79;5505;211;31;74;49;16;21;28;232;52;249;4542;20110101
AT1;AT13;AT130;00000;0000;2;80;5592;224;34;70;43;9;16;21;255;52;248;4620;20110101
AT1;AT13;AT130;00000;0000;2;81;5262;164;28;90;44;15;13;42;211;38;252;4365;20110101
AT1;AT13;AT130;00000;0000;2;82;5161;137;24;67;35;12;13;21;221;49;219;4363;20110101
AT1;AT13;AT130;00000;0000;2;83;4952;117;19;67;39;8;8;27;251;45;226;4145;20110101
AT1;AT13;AT130;00000;0000;2;84;5203;119;16;112;47;10;8;43;257;45;239;4307;20110101
AT1;AT13;AT130;00000;0000;2;85;5041;109;15;167;42;1;5;40;233;44;210;4175;20110101
AT1;AT13;AT130;00000;0000;2;86;4736;82;9;163;54;4;10;36;227;28;208;3915;20110101
AT1;AT13;AT130;00000;0000;2;87;4450;71;6;167;62;1;9;27;255;41;220;3591;20110101
AT1;AT13;AT130;00000;0000;2;88;3964;72;4;182;47;0;3;33;227;38;184;3174;20110101
AT1;AT13;AT130;00000;0000;2;89;3381;56;7;172;32;2;4;30;200;31;149;2698;20110101
AT1;AT13;AT130;00000;0000;2;90;2619;38;2;154;25;3;2;15;180;33;127;2040;20110101
AT1;AT13;AT130;00000;0000;2;91;1735;32;0;66;11;0;4;10;118;21;76;1397;20110101
AT1;AT13;AT130;00000;0000;2;92;990;13;2;33;15;0;0;5;52;22;33;815;20110101
AT1;AT13;AT130;00000;0000;2;93;776;7;0;27;7;1;2;4;47;17;46;618;20110101
AT1;AT13;AT130;00000;0000;2;94;661;4;0;21;5;1;3;4;47;9;32;535;20110101
AT1;AT13;AT130;00000;0000;2;95;600;1;1;12;5;0;0;3;39;7;34;498;20110101
AT1;AT13;AT130;00000;0000;2;96;580;10;1;14;4;0;0;1;39;9;18;484;20110101
AT1;AT13;AT130;00000;0000;2;97;445;7;0;8;1;0;1;1;30;4;18;375;20110101
AT1;AT13;AT130;00000;0000;2;98;308;3;0;7;3;0;0;4;17;2;13;259;20110101
AT1;AT13;AT130;00000;0000;2;99;173;1;0;5;0;0;0;1;9;4;10;143;20110101
AT1;AT13;AT130;00000;0000;2;100;116;2;0;1;0;0;0;1;4;2;6;100;20110101
AT1;AT13;AT130;00000;0000;2;101;74;1;1;0;0;0;0;0;4;2;3;63;20110101
AT1;AT13;AT130;00000;0000;2;102;32;0;0;1;0;0;0;1;3;0;1;26;20110101
AT1;AT13;AT130;00000;0000;2;103;20;0;0;0;0;0;0;1;1;0;1;17;20110101
