Gebäude in Wien, 2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Buildings in Vienna, 2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE_2;SUB_DISTRICT_CODE_4;DISTRICT_CODE;SUB_DISTRICT_CODE;OBJ_TYP_1WOHN;OBJ_TYP_2WOHN;OBJ_TYP_3WOHN;OBJ_TYP_GEMEIN;OBJ_TYP_GEWERBL;OBJ_WSA_MITHWS;OBJ_WSA_OHNEHWS;OBJ_ANZWHG_KEINE;OBJ_ANZWHG_1;OBJ_ANZWHG_2;OBJ_ANZWHG_3BIS5;OBJ_ANZWHG_6BIS10;OBJ_ANZWHG_11BIS20;OBJ_ANZWHG_21MEHR;OBJ_EIGENT_PRIVAT;OBJ_EIGENT_OEFFENTL;OBJ_EIGENT_GEMEINN;OBJ_EIGENT_SONSTIGE;OBJ_FLNETTO_BIS199;OBJ_FLNETTO_200BIS299;OBJ_FLNETTO_300BIS499;OBJ_FLNETTO_500BIS999;OBJ_FLNETTO_1000BIS;OBJ_ANZGESCHO_1;OBJ_ANZGESCHO_2;OBJ_ANZGESCHO_3;OBJ_ANZGESCHO_4;OBJ_ANZGESCHO_5;OBJ_ANZGESCHO_6BIS10;OBJ_ANZGESCHO_11BIS;OBJ_BAUP_BIS1918;OBJ_BAUP_1919BIS1944;OBJ_BAUP_1945BIS1960;OBJ_BAUP_1961BIS1970;OBJ_BAUP_1971BIS1980;OBJ_BAUP_1981BIS1990;OBJ_BAUP_1991BIS2000;OBJ_BAUP_2001BIS
AT1;AT13;AT130;03;0307;90301;9030107;8;1;110;6;140;130;135;124;20;6;2;8;46;59;100;80;11;74;27;7;16;65;150;70;35;16;12;24;107;1;45;10;53;22;17;34;30;54
AT1;AT13;AT130;03;0308;90301;9030108;107;3;43;2;64;89;130;64;108;4;0;2;32;9;117;78;1;23;121;1;0;31;66;134;25;3;9;8;40;0;15;19;44;40;16;50;14;21
AT1;AT13;AT130;03;0309;90301;9030109;5;2;333;2;44;354;32;27;9;8;19;71;189;63;259;51;22;54;8;1;20;105;252;16;10;26;52;97;185;0;267;11;26;23;13;14;5;27
AT1;AT13;AT130;03;0310;90301;9030110;1;1;206;5;25;215;23;20;4;3;4;17;109;81;98;108;5;27;6;5;14;84;129;11;7;8;24;45;142;1;92;89;12;9;4;18;7;7
AT1;AT13;AT130;03;0311;90301;9030111;0;1;91;0;35;93;34;33;1;1;1;6;72;13;21;86;14;6;12;3;9;66;37;26;10;2;12;36;41;0;3;49;38;9;1;11;2;14
AT1;AT13;AT130;04;0401;90401;9040101;0;2;103;1;72;124;54;50;7;3;12;41;43;22;77;51;0;50;24;3;2;42;107;30;2;7;24;45;70;0;110;29;9;6;9;6;1;8
AT1;AT13;AT130;04;0402;90401;9040102;9;2;390;2;78;433;48;49;17;4;34;96;193;88;296;67;7;111;10;12;23;131;305;19;14;20;101;118;207;2;311;24;49;31;12;15;13;26
AT1;AT13;AT130;04;0403;90401;9040103;1;4;488;6;68;522;45;37;15;10;32;154;229;90;387;55;15;110;6;9;23;191;338;11;10;31;137;147;231;0;411;12;44;45;22;17;9;7
AT1;AT13;AT130;04;0404;90401;9040104;1;1;235;1;12;242;8;7;2;2;4;37;132;66;164;65;2;19;3;1;4;75;167;3;6;3;14;58;166;0;119;8;70;27;9;9;2;6
AT1;AT13;AT130;05;0501;90501;9050101;13;6;449;2;73;493;50;37;22;11;41;93;237;102;384;54;27;78;24;15;36;184;284;27;33;48;129;106;200;0;343;30;11;37;38;27;30;27
