Kilowatt - Gemeindebezirk;;;;;;;;;;;;;;
Kilowatt in Vienna - municipial district;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;SEX;KW_0_30;KW_31_50;KW_51_70;KW_71_90;KW_91_110;KW_111_130;KW_131_150;KW_151_+;REF_DATE
AT1;AT13;AT130;91901;0000;3;10;127;353;741;722;320;246;541;20121231
AT1;AT13;AT130;92001;0000;1;73;1132;4053;5026;2981;950;511;537;20121231
AT1;AT13;AT130;92001;0000;2;35;1446;3163;2181;945;225;133;132;20121231
AT1;AT13;AT130;92001;0000;3;8;52;259;471;641;307;227;249;20121231
AT1;AT13;AT130;92101;0000;1;201;2527;8319;10481;6029;1971;1128;1252;20121231
AT1;AT13;AT130;92101;0000;2;85;3893;8258;5200;1963;570;283;261;20121231
AT1;AT13;AT130;92101;0000;3;17;142;699;1594;1536;494;308;391;20121231
AT1;AT13;AT130;92201;0000;1;200;2865;9429;12554;7493;2527;1556;1759;20121231
AT1;AT13;AT130;92201;0000;2;104;4736;10075;6732;2604;725;425;403;20121231
AT1;AT13;AT130;92201;0000;3;3;156;1220;2568;2178;794;600;760;20121231
AT1;AT13;AT130;92301;0000;1;164;1739;5398;7338;4436;1592;886;1224;20121231
AT1;AT13;AT130;92301;0000;2;70;3052;6424;4239;1716;465;249;269;20121231
AT1;AT13;AT130;92301;0000;3;10;260;836;2586;2791;808;518;769;20121231
AT1;AT13;AT130;99101;0000;3;1;6;39;3919;635;418;216;177;20121231
AT1;AT13;AT130;99201;0000;3;1;5;113;212;55;3;7;0;20121231
AT1;AT13;AT130;99301;0000;3;0;9;701;1441;127;3;0;1;20121231
AT1;AT13;AT130;90101;0000;1;153;353;773;1087;900;546;385;1143;20111231
AT1;AT13;AT130;90101;0000;2;50;386;792;767;466;217;170;278;20111231
AT1;AT13;AT130;90101;0000;3;25;174;897;2042;1889;924;766;1835;20111231
AT1;AT13;AT130;90201;0000;1;125;1437;4529;5562;3165;994;585;775;20111231
AT1;AT13;AT130;90201;0000;2;63;1784;3564;2480;1010;306;163;192;20111231
AT1;AT13;AT130;90201;0000;3;12;112;832;1627;1339;478;342;428;20111231
AT1;AT13;AT130;90301;0000;1;177;1401;4053;5217;3168;1099;682;978;20111231
AT1;AT13;AT130;90301;0000;2;94;1933;3807;2775;1170;351;195;256;20111231
AT1;AT13;AT130;90301;0000;3;25;991;1809;2778;2225;1518;502;818;20111231
AT1;AT13;AT130;90401;0000;1;99;505;1373;1775;1228;435;319;522;20111231
AT1;AT13;AT130;90401;0000;2;40;685;1302;1082;534;173;108;108;20111231
AT1;AT13;AT130;90401;0000;3;18;66;226;638;711;325;217;398;20111231
AT1;AT13;AT130;90501;0000;1;69;803;2672;3159;1881;587;348;370;20111231
AT1;AT13;AT130;90501;0000;2;39;1049;2120;1363;571;164;94;98;20111231
AT1;AT13;AT130;90501;0000;3;10;158;250;362;396;143;115;179;20111231
AT1;AT13;AT130;90601;0000;1;85;554;1409;1705;1056;431;292;391;20111231
AT1;AT13;AT130;90601;0000;2;30;642;1261;902;419;108;68;93;20111231
AT1;AT13;AT130;90601;0000;3;10;96;212;463;425;173;156;272;20111231
AT1;AT13;AT130;90701;0000;1;62;481;1322;1675;1059;382;278;394;20111231
AT1;AT13;AT130;90701;0000;2;29;668;1219;904;395;95;72;98;20111231
AT1;AT13;AT130;90701;0000;3;10;89;305;494;454;206;145;282;20111231
